#Format: <DP> <Energy in keV> <Spectrum in ph cm^-2 s^-1 keV^-1>
#flux (100 keV - 10 MeV): 0.0059336 ph cm^-2 s^-1 (note: this is for x50 model, so multiply by 2.)

IP LINLIN
DP 1.000000000000000000e+02 4.233267272828724369e-05
DP 1.244505123080320033e+02 3.192349265277145498e-05
DP 1.840785691489599856e+02 1.697971712648303484e-05
DP 2.722716827661599837e+02 8.308563595456492027e-06
DP 4.027189132333920156e+02 4.281157160658594596e-06
DP 5.956602182548799647e+02 2.223598979170528890e-06
DP 8.810626459558400256e+02 1.158346586132783634e-06
DP 1.303190247686560042e+03 6.299502753286111347e-07
DP 1.927510643074720065e+03 3.426188981264062269e-07
DP 2.851005239591519512e+03 1.891591741698791834e-07
DP 4.217140349611199781e+03 1.062166150315534303e-07
DP 6.237414019107200147e+03 5.820629121496002996e-08
DP 9.225847496236799998e+03 3.199165488773456294e-08
DP 1.000000000000000000e+04 2.824501810582747464e-08
EN
