#Format: <DP> <Time in s> <Relative to the max value>
#This is the 

IP LINLIN
DP 0 9.2e+00
DP 259200 7.5e+00
DP 518400 4.9e+00
DP 777600 3.0e+00
DP 1036800 2.6e+00
DP 1296000 3.0e+00
DP 1555200 2.6e+00
DP 1814400 2.9e+00
DP 2073600 3.0e+00
DP 2332800 3.8e+00
DP 2592000 3.3e+00
DP 2851200 2.3e+00
DP 3110400 2.9e+00
DP 3369600 2.5e+00
DP 3628800 2.4e+00
DP 3888000 2.2e+00
DP 4147200 2.4e+00
DP 4406400 3.4e+00
DP 4665600 3.7e+00
DP 4924800 3.8e+00
DP 5184000 2.8e+00
DP 5443200 2.5e+00
DP 5702400 2.7e+00
DP 5961600 2.6e+00
DP 6220800 2.2e+00
DP 6480000 2.7e+00
DP 6739200 3.3e+00
DP 6998400 2.0e+00
DP 7257600 2.0e+00
DP 7516800 1.3e+00
DP 7776000 3.0e+00
DP 8035200 4.8e+00
DP 8294400 5.9e+00
DP 8553600 7.7e+00
DP 8812800 3.9e+00
DP 9072000 2.5e+00
DP 9331200 3.8e+00
DP 9590400 3.1e+00
DP 9849600 2.1e+00
DP 10108800 1.8e+00
DP 10368000 2.4e+00
DP 10627200 1.5e+00
DP 10886400 1.4e+00
DP 11145600 1.8e+00
DP 11404800 1.8e+00
DP 11664000 3.2e+00
DP 11923200 2.5e+00
DP 12182400 2.6e+00
DP 12441600 1.6e+00
DP 12700800 5.4e+00
DP 12960000 3.4e+00
DP 13219200 2.7e+00
DP 13478400 3.5e+00
DP 13737600 4.5e+00
DP 13996800 3.1e+00
DP 14256000 2.0e+00
DP 14515200 2.0e+00
DP 14774400 2.6e+00
DP 15033600 2.0e+00
EN
