# DP | Time point in [s] | Count rate (background subtracted, negative rate clipped to 0)
IP LinLin
DP 6930309.0 3.0
DP 6930309.393606 19.0
DP 6930309.787212 231.0
DP 6930310.180818 1136.0
DP 6930310.574424 1682.0
DP 6930310.96803 1984.0
DP 6930311.361636 2208.0
DP 6930311.755242 2251.0
DP 6930312.148848 2301.0
DP 6930312.542454 2285.0
DP 6930312.93606 2410.0
DP 6930313.329666 2180.0
DP 6930313.723272 2258.0
DP 6930314.116878 2274.0
DP 6930314.510484 2378.0
DP 6930314.90409 2231.0
DP 6930315.297696 2128.0
DP 6930315.691302 2132.0
DP 6930316.084908 2202.0
DP 6930316.478514 2312.0
DP 6930316.87212 2427.0
DP 6930317.265726 2664.0
DP 6930317.659332 2890.0
DP 6930318.052938 2894.0
DP 6930318.446544 3027.0
DP 6930318.84015 2933.0
DP 6930319.233756 2775.0
DP 6930319.627362 2558.0
DP 6930320.020968 2390.0
DP 6930320.414574 2337.0
DP 6930320.80818 2381.0
DP 6930321.201786 2413.0
DP 6930321.595392 2612.0
DP 6930321.988998 2784.0
DP 6930322.382604 2813.0
DP 6930322.77621 2644.0
DP 6930323.169816 2508.0
DP 6930323.563422 2260.0
DP 6930323.957028 2281.0
DP 6930324.350634 2271.0
DP 6930324.74424 2244.0
DP 6930325.137846 2241.0
DP 6930325.531452 2073.0
DP 6930325.925058 2230.0
DP 6930326.318664 2197.0
DP 6930326.71227 1995.0
DP 6930327.105876 1875.0
DP 6930327.499482 1807.0
DP 6930327.893088 1825.0
DP 6930328.286694 1676.0
DP 6930328.6803 1568.0
DP 6930329.073906 1409.0
DP 6930329.467512 1253.0
DP 6930329.861118 1152.0
DP 6930330.254724 1093.0
DP 6930330.64833 1060.0
DP 6930331.041936 952.0
DP 6930331.435542 836.0
DP 6930331.829148 836.0
DP 6930332.222754 736.0
DP 6930332.61636 752.0
DP 6930333.009966 548.0
DP 6930333.403572 628.0
DP 6930333.797178 620.0
DP 6930334.190784 607.0
DP 6930334.58439 487.0
DP 6930334.977996 471.0
DP 6930335.371602 452.0
DP 6930335.765208 471.0
DP 6930336.158814 452.0
DP 6930336.55242 453.0
DP 6930336.946026 308.0
DP 6930337.339632 347.0
DP 6930337.733238 349.0
DP 6930338.126844 309.0
DP 6930338.52045 333.0
DP 6930338.914056 407.0
DP 6930339.307662 379.0
DP 6930339.701268 320.0
DP 6930340.094874 397.0
DP 6930340.48848 336.0
DP 6930340.882086 312.0
DP 6930341.275692 261.0
DP 6930341.669298 295.0
DP 6930342.062904 320.0
DP 6930342.45651 280.0
DP 6930342.850116 351.0
DP 6930343.243722 275.0
DP 6930343.637328 239.0
DP 6930344.030934 162.0
DP 6930344.42454 254.0
DP 6930344.818146 248.0
DP 6930345.211752 255.0
DP 6930345.605358 264.0
DP 6930345.998964 214.0
DP 6930346.39257 207.0
DP 6930346.786176 173.0
DP 6930347.179782 217.0
DP 6930347.573388 188.0
DP 6930347.966994 142.0
DP 6930348.3606 202.0
DP 6930348.754206 165.0
DP 6930349.147812 191.0
DP 6930349.541418 121.0
DP 6930349.935024 117.0
DP 6930350.32863 214.0
DP 6930350.722236 202.0
DP 6930351.115842 105.0
DP 6930351.509448 212.0
DP 6930351.903054 148.0
DP 6930352.29666 87.0
DP 6930352.690266 27.0
DP 6930353.083872 95.0
DP 6930353.477478 75.0
DP 6930353.871084 117.0
DP 6930354.26469 115.0
DP 6930354.658296 138.0
DP 6930355.051902 64.0
DP 6930355.445508 148.0
DP 6930355.839114 36.0
DP 6930356.23272 92.0
DP 6930356.626326 90.0
DP 6930357.019932 13.0
DP 6930357.413538 75.0
DP 6930357.807144 106.0
DP 6930358.20075 109.0
DP 6930358.594356 54.0
DP 6930358.987962 91.0
DP 6930359.381568 64.0
DP 6930359.775174 108.0
DP 6930360.16878 58.0
DP 6930360.562386 159.0
DP 6930360.955992 2.0
DP 6930361.349598 80.0
DP 6930361.743204 65.0
DP 6930362.13681 51.0
DP 6930362.530416 80.0
DP 6930362.924022 92.0
DP 6930363.317628 147.0
DP 6930363.711234 114.0
DP 6930364.10484 0.0
EN
