# Info on the Light curve. 
# DP | Time point in [s] | Excess counts. 
# We shifted GBM times to start from 0.0. After the shift GBM Trigger time is at 0.0.0195 s. Light curve stops at 0.2115 s. Time resolution is 0.0005 s. There are 424 points. 
# Light curve values are Excess Counts = Observed GBM Counts - Best fit Background Model. Negative excess counts are clipped to 0. 
# We selected the events from GBM detector Sum_n0_n1_n2_n3_n5_b0 with energy in [8.0,40000.0] keV.
IP LINLIN
DP 85.0 136.1
DP 85.0005 261.5
DP 85.001 136.1
DP 85.0015 2233.1
DP 85.002 0.0
DP 85.0025 2233.1
DP 85.003 11455.1
DP 85.0035 2233.1
DP 85.00399999999999 136.1
DP 85.00450000000001 261.5
DP 85.005 0.0
DP 85.0055 136.1
DP 85.006 0.0
DP 85.0065 6721.6
DP 85.007 13397.8
DP 85.0075 11147.7
DP 85.008 0.0
DP 85.0085 0.0
DP 85.009 2554.9
DP 85.0095 0.0
DP 85.00999999999999 0.0
DP 85.01050000000001 6495.0
DP 85.011 0.0
DP 85.0115 0.0
DP 85.012 2391.5
DP 85.0125 4544.8
DP 85.013 261.5
DP 85.0135 0.0
DP 85.014 2554.9
DP 85.0145 2233.1
DP 85.015 0.0
DP 85.0155 444927.8
DP 85.01599999999999 347254.7
DP 85.01650000000001 16511570.1
DP 85.017 0.0
DP 85.0175 9257728.9
DP 85.018 2516531.4
DP 85.0185 3987668.6
DP 85.019 2711560.7
DP 85.0195 1131096.6
DP 85.02 948291.4
DP 85.0205 311668.7
DP 85.021 493412.6
DP 85.0215 295109.8
DP 85.02199999999999 249593.3
DP 85.02250000000001 294527.7
DP 85.023 195227.9
DP 85.0235 132838.7
DP 85.024 151574.0
DP 85.0245 7018.0
DP 85.025 0.0
DP 85.0255 0.0
DP 85.026 0.0
DP 85.0265 85439.8
DP 85.027 76007.4
DP 85.0275 96612.6
DP 85.02799999999999 99937.7
DP 85.02850000000001 72943.2
DP 85.029 116087.5
DP 85.0295 128208.7
DP 85.03 96612.6
DP 85.0305 90091.7
DP 85.031 80621.4
DP 85.0315 88666.4
DP 85.032 83737.8
