IP LINLIN
DP 100.0 0.005413685557877905
DP 101.0 0.005331334732395703
DP 102.0 0.005250984443345083
DP 103.0 0.005172567754987389
DP 104.0 0.005096020579922662
DP 105.0 0.005021281532321804
DP 106.0 0.004948291790018162
DP 107.0 0.004876994964846733
DP 108.0 0.004807336980666706
DP 109.0 0.004739265958546401
DP 110.0 0.004672732108629392
DP 111.0 0.004607687628236928
DP 112.0 0.004544086605795088
DP 113.0 0.0044818849302055725
DP 114.0 0.00442104020530716
DP 115.0 0.004361511669100502
DP 116.0 0.004303260117432661
DP 117.0 0.004246247831859502
DP 118.0 0.004190438511424105
DP 119.0 0.004135797208107851
DP 120.0 0.004082290265727759
DP 121.0 0.0040298852620694586
DP 122.0 0.003978550954059546
DP 123.0 0.003928257225794572
DP 124.0 0.0038789750392561827
DP 125.0 0.0038306763875534194
DP 126.0 0.003783334250543778
DP 127.0 0.0037369225526944125
DP 128.0 0.003691416123053954
DP 129.0 0.0036467906572138745
DP 130.0 0.003603022681146096
DP 131.0 0.0035600895168108456
DP 132.0 0.003517969249435461
DP 133.0 0.0034766406963711582
DP 134.0 0.003436083377440556
DP 135.0 0.003396277486694205
DP 136.0 0.003357203865499411
DP 137.0 0.003318843976889328
DP 138.0 0.003281179881104697
DP 139.0 0.0032441942122646795
DP 140.0 0.003207870156107063
DP 141.0 0.003172191428741636
DP 142.0 0.0031371422563639144
DP 143.0 0.00310270735587944
DP 144.0 0.0030688719163918118
DP 145.0 0.003035621581510328
DP 146.0 0.003002942432435627
DP 147.0 0.002970820971784119
DP 148.0 0.002939244108114216
DP 149.0 0.002908199141119455
DP 150.0 0.0028776737474555617
DP 151.0 0.0028476559671703375
DP 152.0 0.002818134190706982
DP 153.0 0.0027890971464530545
DP 154.0 0.002760533888808821
DP 155.0 0.0027324337867501423
DP 156.0 0.002704786512862393
DP 157.0 0.0026775820328231786
DP 158.0 0.0026508105953127747
DP 159.0 0.002624462722332357
DP 160.0 0.0025985291999111064
DP 161.0 0.002573001069184285
DP 162.0 0.0025478696178253
DP 163.0 0.0025231263718156404
DP 164.0 0.002498763087537416
DP 165.0 0.002474771744173987
DP 166.0 0.0024511445364049215
DP 167.0 0.0024278738673821983
DP 168.0 0.0024049523419752477
DP 169.0 0.002382372760273014
DP 170.0 0.0023601281113318326
DP 171.0 0.002338211567158447
DP 172.0 0.0023166164769180273
DP 173.0 0.0022953363613575323
DP 174.0 0.002274364907435231
DP 175.0 0.002253695963147655
DP 176.0 0.0022333235325456254
DP 177.0 0.0022132417709314583
DP 178.0 0.0021934449802297655
DP 179.0 0.0021739276045246747
DP 180.0 0.002154684225756586
DP 181.0 0.002135709559571934
DP 182.0 0.002116998451319704
DP 183.0 0.0020985458721887603
DP 184.0 0.0020803469154802847
DP 185.0 0.00206239679300993
DP 186.0 0.0020446908316344744
DP 187.0 0.002027224469898068
DP 188.0 0.002009993254793321
DP 189.0 0.00199299283863273
DP 190.0 0.001976218976026134
DP 191.0 0.0019596675209600646
DP 192.0 0.0019433344239750616
DP 193.0 0.0019272157294371692
DP 194.0 0.001911307572900022
DP 195.0 0.0018956061785540507
DP 196.0 0.001880107856759526
DP 197.0 0.0018648090016602594
DP 198.0 0.0018497060888749456
DP 199.0 0.0018347956732632435
DP 200.0 0.0018200743867638205
DP 201.0 0.0018055389363016952
DP 202.0 0.0017911861017623377
DP 203.0 0.0017770127340300658
DP 204.0 0.0017630157530884225
DP 205.0 0.0017491921461802562
DP 206.0 0.0017355389660253706
DP 207.0 0.0017220533290936736
DP 208.0 0.0017087324139318304
DP 209.0 0.0016955734595415328
DP 210.0 0.0016825737638075447
DP 211.0 0.0016697306819737797
DP 212.0 0.0016570416251657186
DP 213.0 0.0016445040589575515
DP 214.0 0.0016321155019824957
DP 215.0 0.0016198735245847857
DP 216.0 0.0016077757475119088
DP 217.0 0.0015958198406457054
DP 218.0 0.001584003521771005
DP 219.0 0.0015723245553805256
DP 220.0 0.0015607807515148097
DP 221.0 0.0015493699646360215
DP 222.0 0.0015380900925344592
DP 223.0 0.0015269390752667075
DP 224.0 0.0015159148941243654
DP 225.0 0.0015050155706323452
DP 226.0 0.0014942391655757684
DP 227.0 0.0014835837780545202
DP 228.0 0.0014730475445645594
DP 229.0 0.0014626286381051157
DP 230.0 0.0014523252673109388
DP 231.0 0.0014421356756087857
DP 232.0 0.0014320581403973742
DP 233.0 0.0014220909722500539
DP 234.0 0.0014122325141394678
DP 235.0 0.0014024811406835086
DP 236.0 0.0013928352574119045
DP 237.0 0.0013832933000527763
DP 238.0 0.0013738537338385507
DP 239.0 0.0013645150528306185
DP 240.0 0.0013552757792621652
DP 241.0 0.0013461344628986046
DP 242.0 0.0013370896804150779
DP 243.0 0.0013281400347904964
DP 244.0 0.0013192841547176178
DP 245.0 0.0013105206940286767
DP 246.0 0.001301848331136088
DP 247.0 0.001293265768487782
DP 248.0 0.0012847717320367189
DP 249.0 0.0012763649707241676
DP 250.0 0.0012680442559763342
DP 250.000000001 0.0
EN
