#Format: <DP> <Energy in keV> <Spectrum in ph cm^-2 s^-1 keV^-1>
#flux (100 keV - 10 MeV): 0.0023389 ph cm^-2 s^-1 (this is for the x50 model, so multiply by 2.)

IP LINLIN
DP 1.000000000000000000e+02 1.676863403699957864e-05
DP 1.244505123080320033e+02 1.222168810371536502e-05
DP 1.840785691489599856e+02 5.996368451778817889e-06
DP 2.722716827661599837e+02 2.913491393445024489e-06
DP 4.027189132333920156e+02 1.411586826114936472e-06
DP 5.956602182548799647e+02 7.793635695734294351e-07
DP 8.810626459558400256e+02 4.417324612766268315e-07
DP 1.303190247686560042e+03 2.699970665751029789e-07
DP 1.927510643074720065e+03 1.689825370154167538e-07
DP 2.851005239591519512e+03 1.046088937374997580e-07
DP 4.217140349611199781e+03 6.648519554680547619e-08
DP 6.237414019107200147e+03 4.081531865164352353e-08
DP 9.225847496236799998e+03 2.365823359860996021e-08
DP 1.000000000000000000e+04 2.111664447508305111e-08
