# DP | Time point in [s] | Count rate (background subtracted, negative rate clipped to 0)
IP LinLin
DP 7110110.0 220.0
DP 7110110.137602 173.0
DP 7110110.275204 191.0
DP 7110110.412806 235.0
DP 7110110.550408 236.0
DP 7110110.68801 199.0
DP 7110110.825612 205.0
DP 7110110.963214 336.0
DP 7110111.100816 352.0
DP 7110111.238418 293.0
DP 7110111.37602 335.0
DP 7110111.513622 442.0
DP 7110111.651224 536.0
DP 7110111.788826 611.0
DP 7110111.926428 619.0
DP 7110112.06403 1075.0
DP 7110112.201632 1201.0
DP 7110112.339234 1508.0
DP 7110112.476836 1818.0
DP 7110112.614438 1919.0
DP 7110112.75204 2162.0
DP 7110112.889642 2502.0
DP 7110113.027244 2748.0
DP 7110113.164846 2451.0
DP 7110113.302448 2242.0
DP 7110113.44005 2708.0
DP 7110113.577652 3326.0
DP 7110113.715254 3377.0
DP 7110113.852856 3573.0
DP 7110113.990458 3255.0
DP 7110114.12806 3354.0
DP 7110114.265662 3241.0
DP 7110114.403264 3658.0
DP 7110114.540866 3895.0
DP 7110114.678468 4082.0
DP 7110114.81607 4035.0
DP 7110114.953672 3805.0
DP 7110115.091274 3334.0
DP 7110115.228876 3074.0
DP 7110115.366478 3109.0
DP 7110115.50408 2605.0
DP 7110115.641682 2547.0
DP 7110115.779284 2489.0
DP 7110115.916886 2529.0
DP 7110116.054488 2413.0
DP 7110116.19209 2244.0
DP 7110116.329692 2215.0
DP 7110116.467294 2243.0
DP 7110116.604896 2315.0
DP 7110116.742498 2014.0
DP 7110116.8801 2183.0
DP 7110117.017702 2402.0
DP 7110117.155304 2414.0
DP 7110117.292906 2542.0
DP 7110117.430508 2557.0
DP 7110117.56811 2461.0
DP 7110117.705712 2406.0
DP 7110117.843314 2202.0
DP 7110117.980916 2150.0
DP 7110118.118518 1964.0
DP 7110118.25612 2174.0
DP 7110118.393722 1792.0
DP 7110118.531324 1997.0
DP 7110118.668926 2263.0
DP 7110118.806528 2408.0
DP 7110118.94413 2193.0
DP 7110119.081732 2285.0
DP 7110119.219334 2183.0
DP 7110119.356936 2097.0
DP 7110119.494538 2150.0
DP 7110119.63214 1948.0
DP 7110119.769742 2402.0
DP 7110119.907344 1828.0
DP 7110120.044946 3255.0
DP 7110120.182548 3190.0
DP 7110120.32015 3114.0
DP 7110120.457752 4860.0
DP 7110120.595354 3332.0
DP 7110120.732956 2423.0
DP 7110120.870558 2365.0
DP 7110121.00816 2202.0
DP 7110121.145762 2486.0
DP 7110121.283364 2929.0
DP 7110121.420966 2858.0
DP 7110121.558568 3193.0
DP 7110121.69617 2973.0
DP 7110121.833772 3055.0
DP 7110121.971374 2972.0
DP 7110122.108976 2871.0
DP 7110122.246578 2758.0
DP 7110122.38418 2531.0
DP 7110122.521782 2342.0
DP 7110122.659384 1903.0
DP 7110122.796986 1545.0
DP 7110122.934588 1130.0
DP 7110123.07219 1148.0
DP 7110123.209792 926.0
DP 7110123.347394 957.0
DP 7110123.484996 1260.0
DP 7110123.622598 1787.0
DP 7110123.7602 1642.0
DP 7110123.897802 1095.0
DP 7110124.035404 994.0
DP 7110124.173006 1114.0
DP 7110124.310608 872.0
DP 7110124.44821 593.0
DP 7110124.585812 542.0
DP 7110124.723414 437.0
DP 7110124.861016 438.0
DP 7110124.998618 589.0
DP 7110125.13622 546.0
DP 7110125.273822 461.0
DP 7110125.411424 412.0
DP 7110125.549026 428.0
DP 7110125.686628 456.0
DP 7110125.82423 548.0
DP 7110125.961832 621.0
DP 7110126.099434 690.0
DP 7110126.237036 661.0
DP 7110126.374638 706.0
DP 7110126.51224 900.0
DP 7110126.649842 795.0
DP 7110126.787444 887.0
DP 7110126.925046 578.0
DP 7110127.062648 469.0
DP 7110127.20025 382.0
DP 7110127.337852 336.0
DP 7110127.475454 324.0
DP 7110127.613056 349.0
DP 7110127.750658 292.0
DP 7110127.88826 263.0
DP 7110128.025862 233.0
DP 7110128.163464 227.0
DP 7110128.301066 162.0
DP 7110128.438668 217.0
DP 7110128.57627 196.0
DP 7110128.713872 167.0
DP 7110128.851474 227.0
DP 7110128.989076 175.0
DP 7110129.126678 209.0
DP 7110129.26428 165.0
DP 7110129.401882 175.0
DP 7110129.539484 124.0
DP 7110129.677086 210.0
DP 7110129.814688 151.0
DP 7110129.95229 131.0
DP 7110130.089892 138.0
DP 7110130.227494 111.0
DP 7110130.365096 109.0
DP 7110130.502698 145.0
DP 7110130.6403 161.0
DP 7110130.777902 135.0
DP 7110130.915504 108.0
DP 7110131.053106 113.0
DP 7110131.190708 128.0
DP 7110131.32831 162.0
DP 7110131.465912 132.0
DP 7110131.603514 131.0
DP 7110131.741116 71.0
DP 7110131.878718 141.0
DP 7110132.01632 101.0
DP 7110132.153922 95.0
DP 7110132.291524 71.0
DP 7110132.429126 127.0
DP 7110132.566728 77.0
DP 7110132.70433 122.0
DP 7110132.841932 108.0
DP 7110132.979534 124.0
DP 7110133.117136 161.0
DP 7110133.254738 108.0
DP 7110133.39234 108.0
DP 7110133.529942 83.0
DP 7110133.667544 83.0
DP 7110133.805146 110.0
DP 7110133.942748 94.0
DP 7110134.08035 50.0
DP 7110134.217952 96.0
DP 7110134.355554 91.0
DP 7110134.493156 51.0
DP 7110134.630758 80.0
DP 7110134.76836 39.0
DP 7110134.905962 43.0
DP 7110135.043564 76.0
DP 7110135.181166 73.0
DP 7110135.318768 94.0
DP 7110135.45637 30.0
DP 7110135.593972 91.0
DP 7110135.731574 111.0
DP 7110135.869176 87.0
DP 7110136.006778 58.0
DP 7110136.14438 69.0
DP 7110136.281982 96.0
DP 7110136.419584 81.0
DP 7110136.557186 81.0
DP 7110136.694788 74.0
DP 7110136.83239 100.0
DP 7110136.969992 76.0
DP 7110137.107594 52.0
DP 7110137.245196 78.0
DP 7110137.382798 112.0
DP 7110137.5204 50.0
DP 7110137.658002 78.0
DP 7110137.795604 90.0
DP 7110137.933206 62.0
DP 7110138.070808 51.0
DP 7110138.20841 31.0
DP 7110138.346012 146.0
DP 7110138.483614 108.0
DP 7110138.621216 46.0
