# Info on the Light curve. 
# DP | Time point in [s] | Excess counts. 
# We shifted GBM times to start from 0.0. After the shift GBM Trigger time is at 0.0.0295 s. Light curve stops at 0.1785 s. Time resolution is 0.0005 s. There are 499 points. 
# Light curve values are Excess Counts = Observed GBM Counts - Best fit Background Model. Negative excess counts are clipped to 0. 
# We selected the events from GBM detector Sum_n3_n4_n6_n7_n8_b1 with energy in [8.0,40000.0] keV.
IP LINLIN
DP 15.0 0.0
DP 15.000499999999999 0.0
DP 15.001000000000001 0.0
DP 15.0015 0.0
DP 15.001999999999999 0.0
DP 15.002500000000001 0.0
DP 15.003 0.0
DP 15.003499999999999 0.0
DP 15.004 0.0
DP 15.0045 0.0
DP 15.004999999999999 0.0
DP 15.0055 0.0
DP 15.006 0.0
DP 15.006499999999999 0.0
DP 15.007 0.0
DP 15.0075 0.0
DP 15.008 0.0
DP 15.0085 0.0
DP 15.009 0.0
DP 15.0095 0.0
DP 15.01 0.0
DP 15.0105 0.0
DP 15.011 0.0
DP 15.0115 0.0
DP 15.012 0.0
DP 15.0125 0.0
DP 15.013 0.0
DP 15.0135 0.0
DP 15.014 0.0
DP 15.0145 0.0
DP 15.015 0.0
DP 15.0155 0.0
DP 15.016 0.0
DP 15.0165 0.0
DP 15.017 0.0
DP 15.0175 0.0
DP 15.018 0.0
DP 15.0185 0.0
DP 15.019 0.0
DP 15.0195 0.0
DP 15.02 0.0
DP 15.0205 0.0
DP 15.021 0.0
DP 15.0215 0.0
DP 15.022 0.0
DP 15.0225 0.0
DP 15.023 0.0
DP 15.0235 0.0
DP 15.024000000000001 0.0
DP 15.0245 0.0
DP 15.025 0.0
DP 15.025500000000001 0.0
DP 15.026 0.0
DP 15.0265 0.0
DP 15.027000000000001 0.0
DP 15.0275 0.0
DP 15.027999999999999 0.0
DP 15.028500000000001 0.0
DP 15.029 0.0
DP 15.029499999999999 0.0
DP 15.030000000000001 0.0
DP 15.0305 0.0
DP 15.030999999999999 0.0
DP 15.031500000000001 0.0
DP 15.032 0.0
DP 15.032499999999999 0.0
DP 15.033000000000001 0.0
DP 15.0335 0.0
DP 15.033999999999999 0.0
DP 15.034500000000001 0.0
DP 15.035 0.0
DP 15.035499999999999 0.0
DP 15.036 0.0
DP 15.0365 0.0
DP 15.036999999999999 0.0
DP 15.0375 0.0
DP 15.038 0.0
DP 15.038499999999999 0.0
DP 15.039 0.0
DP 15.0395 0.0
DP 15.04 0.0
DP 15.0405 0.0
DP 15.041 0.0
DP 15.0415 0.0
DP 15.042 0.0
DP 15.0425 0.0
DP 15.043 0.0
DP 15.0435 0.0
DP 15.044 0.0
DP 15.0445 0.0
DP 15.045 0.0
DP 15.0455 0.0
DP 15.046 0.0
DP 15.0465 0.0
DP 15.047 0.0
DP 15.0475 0.0
DP 15.048 0.0
DP 15.0485 0.0
DP 15.049 0.0
DP 15.0495 0.0
DP 15.05 0.0
DP 15.0505 0.0
DP 15.051 0.0
DP 15.0515 0.0
DP 15.052 0.0
DP 15.0525 0.0
DP 15.053 0.0
DP 15.0535 0.0
DP 15.054 0.0
DP 15.0545 0.0
DP 15.055 0.0
DP 15.0555 0.0
DP 15.056000000000001 0.0
DP 15.0565 0.0
DP 15.057 0.0
DP 15.057500000000001 0.0
DP 15.058 0.0
DP 15.0585 0.0
DP 15.059000000000001 0.0
DP 15.0595 0.0
DP 15.059999999999999 0.0
DP 15.060500000000001 0.0
DP 15.061 0.0
DP 15.061499999999999 0.0
DP 15.062000000000001 0.0
DP 15.0625 0.0
DP 15.062999999999999 0.0
DP 15.063500000000001 0.0
DP 15.064 0.0
DP 15.064499999999999 0.0
DP 15.065000000000001 0.0
DP 15.0655 0.0
DP 15.065999999999999 0.0
DP 15.0665 0.0
DP 15.067 0.0
DP 15.067499999999999 0.0
DP 15.068 0.0
DP 15.0685 0.0
DP 15.068999999999999 0.0
DP 15.0695 0.0
DP 15.07 0.0
DP 15.0705 0.0
DP 15.071 0.0
DP 15.0715 0.0
DP 15.072 0.0
DP 15.0725 0.0
DP 15.073 0.0
DP 15.0735 0.0
DP 15.074 0.0
DP 15.0745 0.0
DP 15.075 0.0
DP 15.0755 0.0
DP 15.076 0.0
DP 15.0765 0.0
DP 15.077 0.0
DP 15.0775 0.0
DP 15.078 0.0
DP 15.0785 0.0
DP 15.079 0.0
DP 15.0795 0.0
DP 15.08 0.0
DP 15.0805 0.0
DP 15.081 0.0
DP 15.0815 0.0
DP 15.082 0.0
DP 15.0825 0.0
DP 15.083 0.0
DP 15.0835 0.0
DP 15.084 0.0
DP 15.0845 0.0
DP 15.085 0.0
DP 15.0855 0.0
DP 15.086 0.0
DP 15.086500000000001 0.0
DP 15.087 0.0
