IP LINLIN
DP 3000.0 0.0
DP 3000.000000001 3.859711825797338e-07
DP 3010.0 3.83155752859748e-07
DP 3020.0 3.803700962182816e-07
DP 3030.0 3.776138007771416e-07
DP 3040.0 3.748864616894946e-07
DP 3050.0 3.7218768099721623e-07
DP 3060.0 3.6951706749159e-07
DP 3070.0 3.668742365772671e-07
DP 3080.0 3.642588101394e-07
DP 3090.0 3.616704164138657e-07
DP 3100.0 3.5910868986049797e-07
DP 3110.0 3.5657327103924815e-07
DP 3120.0 3.540638064891982e-07
DP 3130.0 3.5157994861035214e-07
DP 3140.0 3.49121355548132e-07
DP 3150.0 3.466876910805095e-07
DP 3160.0 3.44278624507704e-07
DP 3170.0 3.4189383054438164e-07
DP 3180.0 3.395329892142896e-07
DP 3190.0 3.37195785747265e-07
DP 3200.0 3.348819104785565e-07
DP 3210.0 3.325910587503995e-07
DP 3220.0 3.3032293081578855e-07
DP 3230.0 3.280772317443903e-07
DP 3240.0 3.2585367133054365e-07
DP 3250.0 3.2365196400329463e-07
DP 3260.0 3.214718287384134e-07
DP 3270.0 3.193129889723467e-07
DP 3280.0 3.171751725180539e-07
DP 3290.0 3.150581114826829e-07
DP 3300.0 3.1296154218703784e-07
DP 3310.0 3.108852050867967e-07
DP 3320.0 3.088288446954329e-07
DP 3330.0 3.0679220950880144e-07
DP 3340.0 3.047750519313475e-07
DP 3350.0 3.0277712820389806e-07
DP 3360.0 3.0079819833299816e-07
DP 3370.0 2.988380260217543e-07
DP 3380.0 2.9689637860214795e-07
DP 3390.0 2.949730269687851e-07
DP 3400.0 2.930677455140449e-07
DP 3410.0 2.9118031206459617e-07
DP 3420.0 2.893105078192478e-07
DP 3430.0 2.8745811728810143e-07
DP 3440.0 2.856229282329752e-07
DP 3450.0 2.8380473160906947e-07
DP 3460.0 2.820033215078431e-07
DP 3470.0 2.8021849510107406e-07
DP 3480.0 2.784500525860748e-07
DP 3490.0 2.766977971320363e-07
DP 3500.0 2.7496153482747313e-07
DP 3510.0 2.7324107462874627e-07
DP 3520.0 2.715362283096354e-07
DP 3530.0 2.6984681041193914e-07
DP 3540.0 2.681726381970777e-07
DP 3550.0 2.6651353159867597e-07
DP 3560.0 2.6486931317610324e-07
DP 3570.0 2.6323980806894945e-07
DP 3580.0 2.6162484395241414e-07
DP 3590.0 2.6002425099358974e-07
DP 3600.0 2.584378618086172e-07
DP 3610.0 2.568655114206946e-07
DP 3620.0 2.553070372189201e-07
DP 3630.0 2.5376227891794906e-07
DP 3640.0 2.522310785184488e-07
DP 3650.0 2.5071328026833134e-07
DP 3660.0 2.4920873062474783e-07
DP 3670.0 2.4771727821682765e-07
DP 3680.0 2.4623877380914464e-07
DP 3690.0 2.447730702658958e-07
DP 3700.0 2.4332002251577537e-07
DP 3710.0 2.418794875175298e-07
DP 3720.0 2.4045132422617807e-07
DP 3730.0 2.3903539355988324e-07
DP 3740.0 2.3763155836746066e-07
