IP LINLIN
DP 250.0 0.0
DP 250.000000001 0.0012680442559763342
DP 251.0 0.0012598083812139444
DP 252.0 0.0012516561613744013
DP 253.0 0.001243586432446141
DP 254.0 0.0012355980510148344
DP 255.0 0.0012276898938210878
DP 256.0 0.001219860857329305
DP 257.0 0.0012121098573073899
DP 258.0 0.0012044358284169787
DP 259.0 0.0011968377238138893
DP 260.0 0.001189314514758511
DP 261.0 0.0011818651902358326
DP 262.0 0.0011744887565848523
DP 263.0 0.0011671842371370879
DP 264.0 0.001159950671863942
DP 265.0 0.0011527871170326663
DP 266.0 0.0011456926448706916
DP 267.0 0.0011386663432380768
DP 268.0 0.0011317073153078662
DP 269.0 0.0011248146792541274
DP 270.0 0.001117987567947458
DP 271.0 0.0011112251286577576
DP 272.0 0.0011045265227640688
DP 273.0 0.0010978909254712856
DP 274.0 0.0010913175255335523
DP 275.0 0.0010848055249841639
DP 276.0 0.0010783541388717983
DP 277.0 0.0010719625950029055
DP 278.0 0.001065630133690088
DP 279.0 0.00105935600750632
DP 280.0 0.0010531394810448394
DP 281.0 0.0010469798306845697
DP 282.0 0.0010408763443609215
DP 283.0 0.0010348283213418357
DP 284.0 0.0010288350720089252
DP 285.0 0.0010228959176435876
DP 286.0 0.0010170101902179547
DP 287.0 0.0010111772321905583
DP 288.0 0.0010053963963065795
DP 289.0 0.000999667045402581
DP 290.0 0.0009939885522155876
DP 291.0 0.0009883602991964172
DP 292.0 0.000982781678327147
DP 293.0 0.000977252090942614
DP 294.0 0.0009717709475558419
DP 295.0 0.0009663376676873017
DP 296.0 0.000960951679697901
DP 297.0 0.0009556124206256209
DP 298.0 0.000950319336025694
DP 299.0 0.000945071879814246
DP 300.0 0.0009398695141153132
DP 301.0 0.0009347117091111462
DP 302.0 0.0009295979428957274
DP 303.0 0.0009245277013314145
DP 304.0 0.0009195004779086413
DP 305.0 0.0009145157736085941
DP 306.0 0.0009095730967687938
DP 307.0 0.0009046719629515182
DP 308.0 0.000899811894814984
DP 309.0 0.0008949924219872341
DP 310.0 0.0008902130809426565
DP 311.0 0.000885473414881077
DP 312.0 0.0008807729736093594
DP 313.0 0.0008761113134254589
DP 314.0 0.0008714879970048652
DP 315.0 0.0008669025932893806
DP 316.0 0.0008623546773781804
DP 317.0 0.0008578438304210983
DP 318.0 0.0008533696395140849
DP 319.0 0.0008489316975967913
DP 320.0 0.0008445296033522255
DP 321.0 0.0008401629611084343
DP 322.0 0.0008358313807421628
DP 323.0 0.0008315344775844489
DP 324.0 0.0008272718723281036
DP 325.0 0.0008230431909370381
DP 326.0 0.0008188480645573904
DP 327.0 0.0008146861294304179
DP 328.0 0.0008105570268071066
DP 329.0 0.000806460402864466
DP 330.0 0.0008023959086234657
DP 331.0 0.0007983631998685807
DP 332.0 0.0007943619370689062
DP 333.0 0.0007903917853008094
DP 334.0 0.0007864524141720816
DP 335.0 0.0007825434977475581
DP 336.0 0.0007786647144761741
DP 337.0 0.0007748157471194232
DP 338.0 0.0007709962826811884
DP 339.0 0.0007672060123389146
DP 340.0 0.0007634446313760961
DP 341.0 0.0007597118391160449
DP 342.0 0.000756007338856916
DP 343.0 0.000752330837807962
DP 344.0 0.000748682047026988
DP 345.0 0.0007450606813589832
DP 346.0 0.0007414664593759029
DP 347.0 0.0007378991033175753
DP 348.0 0.0007343583390337098
DP 349.0 0.0007308438959269841
DP 350.0 0.0007273555068971852
DP 351.0 0.0007238929082863822
DP 352.0 0.0007204558398251114
DP 353.0 0.0007170440445795483
DP 354.0 0.0007136572688996488
DP 355.0 0.0007102952623682387
DP 356.0 0.0007069577777510295
DP 357.0 0.0007036445709475439
DP 358.0 0.0007003554009429302
DP 359.0 0.0006970900297606482
DP 360.0 0.0006938482224160066
DP 361.0 0.0006906297468705375
DP 362.0 0.0006874343739871867
DP 363.0 0.0006842618774863076
DP 364.0 0.0006811120339024365
DP 365.0 0.0006779846225418406
DP 366.0 0.0006748794254408135
DP 367.0 0.0006717962273247148
DP 368.0 0.0006687348155677257
DP 369.0 0.0006656949801533167
DP 370.0 0.0006626765136354079
DP 371.0 0.0006596792111002081
DP 372.0 0.0006567028701287206
DP 373.0 0.0006537472907599013
DP 374.0 0.0006508122754544562
DP 375.0 0.0006478976290592664
DP 376.0 0.0006450031587724265
DP 377.0 0.0006421286741088853
DP 378.0 0.0006392739868666777
DP 379.0 0.0006364389110937329
DP 380.0 0.0006336232630552532
DP 381.0 0.0006308268612016451
DP 382.0 0.0006280495261369987
DP 383.0 0.000625291080588099
DP 384.0 0.0006225513493739631
DP 385.0 0.0006198301593758912
DP 386.0 0.0006171273395080201
DP 387.0 0.0006144427206883722
DP 388.0 0.0006117761358103885
DP 389.0 0.0006091274197149384
DP 390.0 0.000606496409162793
DP 391.0 0.0006038829428075584
DP 392.0 0.0006012868611690557
DP 393.0 0.000598708006607142
DP 394.0 0.0005961462232959634
DP 395.0 0.0005936013571986301
DP 396.0 0.0005910732560423082
DP 397.0 0.0005885617692937189
DP 398.0 0.0005860667481350369
DP 399.0 0.0005835880454401831
DP 400.0 0.0005811255157515006
DP 401.0 0.0005786790152568092
DP 402.0 0.0005762484017668312
DP 403.0 0.0005738335346929812
DP 404.0 0.0005714342750255131
DP 405.0 0.0005690504853120167
DP 406.0 0.0005666820296362612
DP 407.0 0.0005643287735973732
DP 408.0 0.0005619905842893486
DP 409.0 0.0005596673302808905
DP 410.0 0.0005573588815955644
DP 411.0 0.0005550651096922697
DP 412.0 0.0005527858874460178
DP 413.0 0.0005505210891290136
DP 414.0 0.0005482705903920336
DP 415.0 0.0005460342682460957
DP 416.0 0.0005438120010444164
DP 417.0 0.0005416036684646472
DP 418.0 0.0005394091514913903
DP 419.0 0.000537228332398983
DP 420.0 0.0005350610947345497
DP 421.0 0.000532907323301316
DP 422.0 0.0005307669041421788
DP 423.0 0.0005286397245235308
DP 424.0 0.0005265256729193314
DP 425.0 0.000524424638995421
DP 426.0 0.000522336513594078
DP 427.0 0.0005202611887188059
DP 428.0 0.0005181985575193574
DP 429.0 0.0005161485142769796
DP 430.0 0.0005141109543898881
DP 431.0 0.0005120857743589552
DP 432.0 0.0005100728717736177
DP 433.0 0.0005080721452979935
DP 434.0 0.0005060834946572083
DP 435.0 0.0005041068206239257
DP 436.0 0.0005021420250050782
DP 437.0 0.0005001890106287971
DP 438.0 0.0004982476813315337
DP 439.0 0.0004963179419453753
DP 440.0 0.0004943996982855452
DP 441.0 0.0004924928571380893
DP 442.0 0.0004905973262477431
DP 443.0 0.0004887130143059769
DP 444.0 0.0004868398309392166
DP 445.0 0.00048497768669723655
DP 446.0 0.00048312649304172155
DP 447.0 0.000481286162334996
DP 448.0 0.0004794566078289157
DP 449.0 0.0004776377436539225
DP 450.0 0.00047582948480825435
DP 451.0 0.00047403174714731426
DP 452.0 0.00047224444737319066
DP 453.0 0.0004704675030243277
DP 454.0 0.00046870083246534596
DP 455.0 0.0004669443548770053
DP 456.0 0.00046519799024631554
DP 457.0 0.0004634616593567834
DP 458.0 0.0004617352837788015
DP 459.0 0.00046001878586017183
DP 460.0 0.00045831208871676386
DP 461.0 0.00045661511622330464
DP 462.0 0.00045492779300429894
DP 463.0 0.00045325004442507645
DP 464.0 0.0004515817965829651
DP 465.0 0.00044992297629858793
DP 466.0 0.0004482735111072812
DP 467.0 0.00044663332925063277
DP 468.0 0.0004450023596681378
DP 469.0 0.0004433805319889704
DP 470.0 0.00044176777652386894
DP 471.0 0.00044016402425713487
DP 472.0 0.00043856920683873964
DP 473.0 0.00043698325657654305
DP 474.0 0.0004354061064286163
DP 475.0 0.000433837689995671
DP 476.0 0.000432277941513593
DP 477.0 0.0004307267958460759
DP 478.0 0.00042918418847735665
DP 479.0 0.0004276500555050497
DP 480.0 0.0004261243336330776
DP 481.0 0.0004246069601646985
DP 482.0 0.00042309787299562657
DP 483.0 0.0004215970106072468
DP 484.0 0.0004201043120599193
DP 485.0 0.0004186197169863754
DP 486.0 0.00041714316558520064
DP 487.0 0.00041567459861440635
DP 488.0 0.0004142139573850859
DP 489.0 0.00041276118375515637
DP 490.0 0.0004113162201231828
DP 491.0 0.00040987900942228504
DP 492.0 0.00040844949511412447
DP 493.0 0.000407027621182971
DP 494.0 0.00040561333212984807
DP 495.0 0.00040420657296675423
DP 496.0 0.0004028072892109619
DP 497.0 0.0004014154268793892
DP 498.0 0.000400030932483047
DP 499.0 0.0003986537530215578
DP 500.0 0.0003972838359777456
DP 501.0 0.000395921129312297
DP 502.0 0.0003945655814584916
DP 503.0 0.00039321714131699984
DP 504.0 0.00039187575825074884
DP 505.0 0.0003905413820798544
DP 506.0 0.00038921396307661836
DP 507.0 0.00038789345196059004
DP 508.0 0.00038657979989369106
DP 509.0 0.00038527295847540287
DP 510.0 0.0003839728797380159
DP 511.0 0.0003826795161419384
DP 512.0 0.0003813928205710666
DP 513.0 0.00038011274632821206
DP 514.0 0.00037883924713058836
DP 515.0 0.00037757227710535435
DP 516.0 0.000376311790785213
DP 517.0 0.0003750577431040677
DP 518.0 0.000373810089392731
DP 519.0 0.00037256878537468883
DP 520.0 0.00037133378716191774
DP 521.0 0.000370105051250753
DP 522.0 0.00036888253451781083
DP 523.0 0.0003676661942159587
DP 524.0 0.00036645598797033837
DP 525.0 0.0003652518737744362
