# AtmosphericNeutrons spectrum 
# Format: DP <energy in keV> <shape of differential spectrum [XX/keV]>
# Although cosima doesn't use it the spectrum here is given as a flux in #/cm^2/s/keV
# Integrated over 3.958990876756658 sr
# Integral Flux: 0.039067890668122704 #/cm^2/s
IP LOGLOG
DP 100.0 4.543395117566772e-09
DP 120.45035402587824 4.182355172319045e-09
DP 145.082877849594 3.850005191006105e-09
DP 174.7528400007683 3.5440653316287135e-09
DP 210.49041445120199 3.262436919356512e-09
DP 253.53644939701115 3.0031880501167496e-09
DP 305.3855508833416 2.7645403381908132e-09
DP 367.8379771828634 2.5448567169102394e-09
DP 443.0621457583882 2.3426302087678774e-09
DP 533.6699231206312 2.15647358790982e-09
DP 642.807311728432 1.98510986409526e-09
DP 774.263682681127 1.8273635228464918e-09
DP 932.60334688322 1.6403011811215151e-09
DP 1123.3240329780276 1.3235851332584572e-09
DP 1353.0477745798075 1.0680219127715344e-09
DP 1629.7508346206434 8.618038821212938e-10
DP 1963.0406500402723 6.954032706239116e-10
DP 2364.4894126454074 5.611319684521595e-10
DP 2848.035868435802 4.527863174075904e-10
DP 3430.4692863149194 3.6536048694043756e-10
DP 4132.012400115339 2.94815192697596e-10
DP 4977.023564332114 2.3789107183747e-10
DP 5994.8425031894085 1.919580926008426e-10
DP 7220.809018385471 1.5489404049651982e-10
DP 8697.490026177835 1.2498646687028108e-10
DP 10476.157527896663 1.0085356964438429e-10
DP 12618.56883066021 8.138035072686124e-11
DP 15199.11082952933 6.62349969426924e-11
DP 18307.382802953696 6.035086236560457e-11
DP 22051.307399030455 5.4989458086990836e-11
DP 26560.87782946684 5.010434618783977e-11
DP 31992.671377973846 4.5653214165876667e-11
DP 38535.28593710536 4.1597508444910854e-11
DP 46415.88833612782 3.7902100442202326e-11
DP 55908.10182512223 3.453498230148319e-11
DP 67341.50657750828 3.146698965621904e-11
DP 81113.08307896872 2.2750049844458872e-11
DP 97700.99572992246 1.5477814067445356e-11
DP 117681.19524349991 1.0530206744349517e-11
DP 141747.41629268078 7.164141757715653e-12
DP 170735.26474706922 4.874066423452341e-12
DP 205651.23083486516 3.316032025000081e-12
DP 247707.6355991714 2.2560358098356595e-12
DP 298364.724028334 1.5348758808385563e-12
DP 359381.36638046254 1.0442405033240783e-12
DP 432876.12810830615 7.10440656730351e-13
DP 521400.8287999695 4.833426065439748e-13
DP 628029.1441834259 3.288382683163299e-13
DP 756463.3275546291 2.237224801729627e-13
DP 911162.7561154906 1.5220779622459764e-13
DP 1097498.7654930567 1.0355335419863872e-13
DP 1321941.1484660313 7.045169453715363e-14
DP 1592282.793341094 4.793124570002264e-14
DP 1917910.2616724886 3.2609638837634674e-14
DP 2310129.7000831626 2.2185706413227324e-14
DP 2782559.402207126 1.5093867537283655e-14
DP 3351602.6509388476 1.0268991799929031e-14
DP 4037017.258596558 6.986426263946639e-15
DP 4862601.580065354 4.753159111676449e-15
DP 5857020.818056673 3.233773704519171e-15
DP 7054802.310718645 2.2000720208062583e-15
DP 8497534.359086456 1.496801365528519e-15
DP 10235310.218990268 1.0183368120044572e-15
DP 12328467.394420683 6.928172879620736e-16
DP 14849682.622544665 4.713526888557808e-16
DP 17886495.29057435 3.2068102391771856e-16
DP 21544346.900318865 2.1817276432760652e-16
DP 25950242.113997374 1.4843209153081269e-16
DP 31257158.496882416 1.0098458377292341e-16
DP 37649358.067924716 6.870405216700511e-17
DP 45348785.081285916 4.674225122104391e-17
DP 54622772.17684348 3.1800715973787226e-17
DP 65793322.465756826 2.1635362226417398e-17
DP 79248289.83539185 1.4719445280858592e-17
DP 95454845.66618347 1.0014256618807173e-17
DP 114975699.53977403 6.8131192252017235e-18
DP 138488637.13938746 4.635251056941956e-18
DP 166810053.72000557 3.1535559045270287e-18
DP 200923300.2565054 2.145496483536352e-18
DP 242012826.47943833 1.4596713361760776e-18
DP 291505306.28251815 9.9307569413592e-19
DP 351119173.42151415 6.756310888909418e-19
DP 422924287.4389499 4.596601960670748e-19
DP 509413801.48163855 3.127261301655781e-19
DP 613590727.3413188 2.127607161227143e-19
DP 739072203.3525776 1.4475004791279565e-19
DP 890215085.4450393 9.847953490940319e-20
DP 1072267222.0103253 6.699976225095988e-20
DP 1291549665.0148828 4.558275123674008e-20
DP 1555676143.9304786 3.1011859452989727e-20
DP 1873817422.8603868 2.109867001526748e-20
DP 2257019719.633917 1.435431103665187e-20
DP 2718588242.732951 9.765840462353426e-21
DP 3274549162.877732 6.644111284242196e-21
DP 3944206059.437664 4.5202678589279366e-21
DP 4750810162.102813 3.0753280073615507e-21
DP 5722367659.35022 2.0922747607053313e-21
DP 6892612104.3497095 1.4234623636261304e-21
DP 8302175681.319769 9.684412098805897e-22
DP 10000000000.0 6.588712149760213e-22
EN
