# PrimaryAlphas_HelMod spectrum 
# Format: DP <energy in keV> <shape of differential spectrum [XX/keV]>
# Although cosima doesn't use it the spectrum here is given as a flux in #/cm^2/s/keV
# Integrated over 8.607379737602514 sr
# Integral Flux: 0.019814452053933743 #/cm^2/s
IP LOGLOG
DP 100.0 2.7193968839986548e-48
DP 120.45035402587824 9.93612179899713e-48
DP 145.082877849594 3.630468461188448e-47
DP 174.7528400007683 1.3265089285396215e-46
DP 210.49041445120199 4.846852367409472e-46
DP 253.53644939701115 1.7709730031429937e-45
DP 305.3855508833416 6.470936584981382e-45
DP 367.8379771828634 2.364427624973519e-44
DP 443.0621457583882 8.639514464694391e-44
DP 533.6699231206312 3.1568793439337112e-43
DP 642.807311728432 1.1535410607639952e-42
DP 774.263682681127 4.215177563780915e-42
DP 932.60334688322 1.5403095710952283e-41
DP 1123.3240329780276 5.628742542940218e-41
DP 1353.0477745798075 2.056971534302212e-40
DP 1629.7508346206434 7.517292869959843e-40
DP 1963.0406500402723 2.7473518415272994e-39
DP 2364.4894126454074 1.0041318081194397e-38
DP 2848.035868435802 3.6702498565379047e-38
DP 3430.4692863149194 1.3416363452193712e-37
DP 4132.012400115339 4.904731997246617e-37
DP 4977.023564332114 1.793269095499835e-36
DP 5994.8425031894085 6.557457962698952e-36
DP 7220.809018385471 2.398267702000276e-35
DP 8697.490026177835 8.772969296196632e-35
DP 10476.157527896663 3.209963381419176e-34
DP 12618.56883066021 1.1748417704166239e-33
DP 15199.11082952933 4.297833958345928e-33
DP 18307.382802953696 1.5623035060812826e-32
DP 22051.307399030455 5.681991976834862e-32
DP 26560.87782946684 2.050993793048505e-31
DP 31992.671377973846 7.363140008085595e-31
DP 38535.28593710536 2.641980088058119e-30
DP 46415.88833612782 9.280257697421392e-30
DP 55908.10182512223 3.263944100396178e-29
DP 67341.50657750828 1.1316214375951452e-28
DP 81113.08307896872 3.879887511853657e-28
DP 97700.99572992246 1.3304131533561841e-27
DP 117681.19524349991 4.376062074612947e-27
DP 141747.41629268078 1.4439566206950713e-26
DP 170735.26474706922 4.6749245874933744e-26
DP 205651.23083486516 1.4898926581262701e-25
DP 247707.6355991714 4.589050713141911e-25
DP 298364.724028334 1.3937956149942768e-24
DP 359381.36638046254 4.178279555511658e-24
DP 432876.12810830615 1.2379817522203604e-23
DP 521400.8287999695 3.5768742189039057e-23
DP 628029.1441834259 1.0245914577259147e-22
DP 756463.3275546291 2.921926438301587e-22
DP 911162.7561154906 8.289050988663178e-22
DP 1097498.7654930567 2.3495251573866295e-21
DP 1321941.1484660313 6.70604500909926e-21
DP 1592282.793341094 1.9300237130207542e-20
DP 1917910.2616724886 5.654151349501217e-20
DP 2310129.7000831626 1.689020164141308e-19
DP 2782559.402207126 5.1750890220169995e-19
DP 3351602.6509388476 1.6345236373727462e-18
DP 4037017.258596558 5.346627492234815e-18
DP 4862601.580065354 1.8173138772563302e-17
DP 5857020.818056673 6.429572592959178e-17
DP 7054802.310718645 2.3800806396753e-16
DP 8497534.359086456 9.157229368639112e-16
DP 10235310.218990268 3.6573106348560646e-15
DP 12328467.394420683 1.4715067677647447e-14
DP 14849682.622544665 5.0830000527460563e-14
DP 17886495.29057435 9.693242456938596e-14
DP 21544346.900318865 9.05554939917482e-14
DP 25950242.113997374 6.450266577486417e-14
DP 31257158.496882416 4.330741155353204e-14
DP 37649358.067924716 2.85153543299234e-14
DP 45348785.081285916 1.858282058791235e-14
DP 54622772.17684348 1.1981379732062545e-14
DP 65793322.465756826 7.652795194055052e-15
DP 79248289.83539185 4.842468981170383e-15
DP 95454845.66618347 3.0388846823689167e-15
DP 114975699.53977403 1.932425872931832e-15
DP 138488637.13938746 1.1982497302663628e-15
DP 166810053.72000557 7.385986878991514e-16
DP 200923300.2565054 4.525314279113455e-16
DP 242012826.47943833 2.7655950904058864e-16
DP 291505306.28251815 1.687610530677468e-16
DP 351119173.42151415 1.0293198733277978e-16
DP 422924287.4389499 6.280418792451968e-17
DP 509413801.48163855 3.838548309423499e-17
DP 613590727.3413188 2.3523542011908223e-17
DP 739072203.3525776 1.4475954068956242e-17
DP 890215085.4450393 8.94096936115639e-18
DP 1072267222.0103253 5.542756791390807e-18
DP 1291549665.0148828 3.446784212510514e-18
DP 1555676143.9304786 2.148301302230482e-18
DP 1873817422.8603868 1.3412966197214561e-18
DP 2257019719.633917 8.3885735328410645e-19
DP 2718588242.732951 5.248207446047694e-19
DP 3274549162.877732 3.2834761820848387e-19
DP 3944206059.437664 2.0542663279130535e-19
DP 4750810162.102813 1.2852263613247506e-19
DP 5722367659.35022 8.040860025789174e-20
DP 6892612104.3497095 5.0306647840376676e-20
DP 8302175681.319769 3.147373301884227e-20
DP 10000000000.0 1.9691152415572305e-20
EN
