#Format: <DP> <Energy in keV> <Spectrum in ph cm^-2 s^-1 keV^-1>
#flux (100.0 - 10000.0 keV):  0.017293201590129727 ph/cm^2/s
#Pivot Energy = 1 GeV (Spectrum from 4FGL-DR3)


IP LINLIN
DP 100.0 0.00010499999999999999
DP 101.0 0.0001026
DP 102.0 0.0001002
DP 103.0 9.796e-05
DP 104.0 9.572999999999999e-05
DP 105.0 9.354e-05
DP 106.0 9.141000000000001e-05
DP 107.0 8.933e-05
DP 108.0 8.729000000000001e-05
DP 109.0 8.53e-05
DP 110.0 8.334999999999999e-05
DP 111.0 8.145e-05
DP 112.0 7.958999999999999e-05
DP 113.0 7.778e-05
DP 114.0 7.6e-05
DP 115.0 7.427e-05
DP 116.0 7.258e-05
DP 117.0 7.091999999999999e-05
DP 118.0 6.93e-05
DP 119.0 6.772000000000001e-05
DP 120.0 6.618e-05
DP 121.0 6.467e-05
DP 123.0 6.319e-05
DP 124.0 6.175e-05
DP 125.0 6.0339999999999995e-05
DP 126.0 5.897e-05
DP 127.0 5.762e-05
DP 128.0 5.631e-05
DP 129.0 5.502e-05
DP 131.0 5.3769999999999995e-05
DP 132.0 5.254e-05
DP 133.0 5.134e-05
DP 134.0 5.017e-05
DP 136.0 4.9029999999999996e-05
DP 137.0 4.791e-05
DP 138.0 4.682e-05
DP 139.0 4.575e-05
DP 141.0 4.471e-05
DP 142.0 4.369e-05
DP 143.0 4.269e-05
DP 145.0 4.172e-05
DP 146.0 4.077e-05
DP 147.0 3.984e-05
DP 149.0 3.893e-05
DP 150.0 3.8039999999999995e-05
DP 151.0 3.7170000000000005e-05
DP 153.0 3.632e-05
DP 154.0 3.5499999999999996e-05
DP 156.0 3.469e-05
DP 157.0 3.389e-05
DP 159.0 3.3119999999999995e-05
DP 160.0 3.2370000000000003e-05
DP 162.0 3.163e-05
DP 163.0 3.091e-05
DP 165.0 3.0200000000000002e-05
DP 166.0 2.951e-05
DP 168.0 2.8840000000000002e-05
DP 169.0 2.818e-05
DP 171.0 2.7539999999999997e-05
DP 172.0 2.691e-05
DP 174.0 2.63e-05
DP 176.0 2.57e-05
DP 177.0 2.5110000000000002e-05
DP 179.0 2.454e-05
DP 181.0 2.398e-05
DP 182.0 2.343e-05
DP 184.0 2.29e-05
DP 186.0 2.238e-05
DP 187.0 2.187e-05
DP 189.0 2.137e-05
DP 191.0 2.088e-05
DP 193.0 2.04e-05
DP 194.0 1.994e-05
DP 196.0 1.948e-05
DP 198.0 1.904e-05
DP 200.0 1.8599999999999998e-05
DP 202.0 1.8180000000000002e-05
DP 204.0 1.777e-05
DP 205.0 1.736e-05
DP 207.0 1.696e-05
DP 209.0 1.658e-05
DP 211.0 1.62e-05
DP 213.0 1.583e-05
DP 215.0 1.547e-05
DP 217.0 1.512e-05
DP 219.0 1.4770000000000001e-05
DP 221.0 1.443e-05
DP 223.0 1.41e-05
DP 225.0 1.378e-05
DP 227.0 1.347e-05
DP 229.0 1.316e-05
DP 232.0 1.286e-05
