#Format: <DP> <Time in s> <Relative to the max value>
#This is the 

IP LINLIN
DP 0 0.0e+00
DP 259200 0.0e+00
DP 518400 0.0e+00
DP 777600 0.0e+00
DP 1036800 0.0e+00
DP 1296000 0.0e+00
DP 1555200 0.0e+00
DP 1814400 0.0e+00
DP 2073600 0.0e+00
DP 2332800 0.0e+00
DP 2592000 0.0e+00
DP 2851200 0.0e+00
DP 3110400 0.0e+00
DP 3369600 0.0e+00
DP 3628800 0.0e+00
DP 3888000 0.0e+00
DP 4147200 0.0e+00
DP 4406400 0.0e+00
DP 4665600 0.0e+00
DP 4924800 0.0e+00
DP 5184000 0.0e+00
DP 5443200 0.0e+00
DP 5702400 0.0e+00
DP 5961600 0.0e+00
DP 6220800 0.0e+00
DP 6480000 0.0e+00
DP 6739200 0.0e+00
DP 6998400 0.0e+00
DP 7257600 0.0e+00
DP 7516800 0.0e+00
DP 7776000 0.0e+00
DP 8035200 0.0e+00
DP 8294400 0.0e+00
DP 8553600 0.0e+00
DP 8812800 0.0e+00
DP 9072000 0.0e+00
DP 9331200 0.0e+00
DP 9590400 0.0e+00
DP 9849600 0.0e+00
DP 10108800 0.0e+00
DP 10368000 0.0e+00
DP 10627200 0.0e+00
DP 10886400 0.0e+00
DP 11145600 0.0e+00
DP 11404800 0.0e+00
DP 11664000 0.0e+00
DP 11923200 0.0e+00
DP 12182400 0.0e+00
DP 12441600 0.0e+00
DP 12700800 0.0e+00
DP 12960000 0.0e+00
DP 13219200 0.0e+00
DP 13478400 0.0e+00
DP 13737600 0.0e+00
DP 13996800 0.0e+00
DP 14256000 0.0e+00
DP 14515200 0.0e+00
DP 14774400 0.0e+00
DP 15033600 0.0e+00
DP 15292800 0.0e+00
DP 15552000 0.0e+00
DP 15811200 0.0e+00
DP 16070400 0.0e+00
DP 16329600 0.0e+00
DP 16588800 0.0e+00
DP 16848000 0.0e+00
DP 17107200 0.0e+00
DP 17366400 0.0e+00
DP 17625600 0.0e+00
DP 17884800 0.0e+00
DP 18144000 0.0e+00
DP 18403200 0.0e+00
DP 18662400 0.0e+00
DP 18921600 0.0e+00
DP 19180800 0.0e+00
DP 19440000 1.4e-01
DP 19699200 2.3e-01
DP 19958400 1.6e-01
DP 20217600 0.0e+00
DP 20476800 0.0e+00
DP 20736000 0.0e+00
DP 20995200 0.0e+00
DP 21254400 0.0e+00
DP 21513600 0.0e+00
DP 21772800 0.0e+00
DP 22032000 1.9e-01
DP 22291200 0.0e+00
DP 22550400 0.0e+00
DP 22809600 1.4e-01
DP 23068800 0.0e+00
DP 23328000 0.0e+00
DP 23587200 0.0e+00
DP 23846400 0.0e+00
DP 24105600 0.0e+00
DP 24364800 0.0e+00
DP 24624000 0.0e+00
DP 24883200 0.0e+00
DP 25142400 0.0e+00
DP 25401600 0.0e+00
DP 25660800 0.0e+00
DP 25920000 0.0e+00
DP 26179200 0.0e+00
DP 26438400 0.0e+00
DP 26697600 0.0e+00
DP 26956800 0.0e+00
DP 27216000 0.0e+00
DP 27475200 0.0e+00
DP 27734400 0.0e+00
DP 27993600 0.0e+00
DP 28252800 0.0e+00
DP 28512000 0.0e+00
DP 28771200 0.0e+00
DP 29030400 0.0e+00
DP 29289600 0.0e+00
DP 29548800 1.4e-01
DP 29808000 0.0e+00
DP 30067200 1.4e-01
DP 30326400 1.3e-01
DP 30585600 0.0e+00
DP 30844800 0.0e+00
DP 31104000 0.0e+00
DP 31363200 0.0e+00
DP 31622400 0.0e+00
DP 31881600 0.0e+00
DP 32140800 0.0e+00
DP 32400000 0.0e+00
DP 32659200 1.7e-01
DP 32918400 2.1e-01
DP 33177600 0.0e+00
DP 33436800 1.7e-01
DP 33696000 2.0e-01
DP 33955200 2.8e-01
DP 34214400 0.0e+00
DP 34473600 0.0e+00
DP 34732800 0.0e+00
DP 34992000 0.0e+00
