#Format: <DP> <Energy in keV> <Spectrum in ph cm^-2 s^-1 keV^-1>
#flux (100.0 - 10000.0 keV):  0.0005535336768481181 ph/cm^2/s
#Pivot Energy = 1 GeV (Spectrum from 4FGL-DR3)


IP LINLIN
DP 0.100 1.0e-01
DP 0.100 1.0e-01
DP 0.101 1.0e-01
DP 0.101 1.0e-01
DP 0.102 1.0e-01
DP 0.102 9.9e-02
DP 0.103 9.8e-02
DP 0.103 9.7e-02
DP 0.104 9.6e-02
DP 0.104 9.5e-02
DP 0.105 9.4e-02
DP 0.105 9.2e-02
DP 0.106 9.1e-02
DP 0.106 9.0e-02
DP 0.107 8.9e-02
DP 0.107 8.8e-02
DP 0.108 8.7e-02
DP 0.108 8.6e-02
DP 0.109 8.5e-02
DP 0.109 8.4e-02
DP 0.110 8.3e-02
DP 0.110 8.2e-02
DP 0.111 8.1e-02
DP 0.111 8.1e-02
DP 0.112 8.0e-02
DP 0.112 7.9e-02
DP 0.113 7.8e-02
DP 0.113 7.7e-02
DP 0.114 7.6e-02
DP 0.114 7.5e-02
DP 0.115 7.4e-02
DP 0.115 7.3e-02
DP 0.116 7.3e-02
DP 0.116 7.2e-02
DP 0.117 7.1e-02
DP 0.118 7.0e-02
DP 0.118 6.9e-02
DP 0.119 6.9e-02
DP 0.119 6.8e-02
DP 0.120 6.7e-02
DP 0.120 6.6e-02
DP 0.121 6.5e-02
DP 0.121 6.5e-02
DP 0.122 6.4e-02
DP 0.122 6.3e-02
DP 0.123 6.3e-02
DP 0.124 6.2e-02
DP 0.124 6.1e-02
DP 0.125 6.0e-02
DP 0.125 6.0e-02
DP 0.126 5.9e-02
DP 0.127 5.8e-02
DP 0.127 5.8e-02
DP 0.128 5.7e-02
DP 0.128 5.6e-02
DP 0.129 5.6e-02
DP 0.129 5.5e-02
DP 0.130 5.4e-02
DP 0.131 5.4e-02
DP 0.131 5.3e-02
DP 0.132 5.3e-02
DP 0.132 5.2e-02
DP 0.133 5.1e-02
DP 0.134 5.1e-02
DP 0.134 5.0e-02
DP 0.135 5.0e-02
DP 0.136 4.9e-02
DP 0.136 4.9e-02
DP 0.137 4.8e-02
DP 0.137 4.7e-02
DP 0.138 4.7e-02
DP 0.139 4.6e-02
DP 0.139 4.6e-02
DP 0.140 4.5e-02
DP 0.141 4.5e-02
DP 0.141 4.4e-02
DP 0.142 4.4e-02
DP 0.143 4.3e-02
DP 0.143 4.3e-02
DP 0.144 4.2e-02
DP 0.145 4.2e-02
DP 0.145 4.1e-02
DP 0.146 4.1e-02
DP 0.147 4.0e-02
DP 0.147 4.0e-02
DP 0.148 3.9e-02
DP 0.149 3.9e-02
DP 0.149 3.9e-02
DP 0.150 3.8e-02
DP 0.151 3.8e-02
DP 0.151 3.7e-02
DP 0.152 3.7e-02
DP 0.153 3.6e-02
DP 0.154 3.6e-02
DP 0.154 3.6e-02
DP 0.155 3.5e-02
DP 0.156 3.5e-02
DP 0.156 3.4e-02
DP 0.157 3.4e-02
DP 0.158 3.4e-02
DP 0.159 3.3e-02
DP 0.159 3.3e-02
DP 0.160 3.2e-02
DP 0.161 3.2e-02
DP 0.162 3.2e-02
DP 0.162 3.1e-02
DP 0.163 3.1e-02
DP 0.164 3.1e-02
DP 0.165 3.0e-02
DP 0.165 3.0e-02
DP 0.166 3.0e-02
DP 0.167 2.9e-02
DP 0.168 2.9e-02
DP 0.168 2.9e-02
DP 0.169 2.8e-02
DP 0.170 2.8e-02
DP 0.171 2.8e-02
DP 0.171 2.7e-02
DP 0.172 2.7e-02
DP 0.173 2.7e-02
DP 0.174 2.6e-02
DP 0.175 2.6e-02
DP 0.175 2.6e-02
DP 0.176 2.5e-02
DP 0.177 2.5e-02
DP 0.178 2.5e-02
DP 0.179 2.5e-02
DP 0.180 2.4e-02
DP 0.180 2.4e-02
DP 0.181 2.4e-02
DP 0.182 2.3e-02
DP 0.183 2.3e-02
DP 0.184 2.3e-02
DP 0.185 2.3e-02
DP 0.185 2.2e-02
DP 0.186 2.2e-02
DP 0.187 2.2e-02
DP 0.188 2.2e-02
DP 0.189 2.1e-02
DP 0.190 2.1e-02
DP 0.191 2.1e-02
DP 0.192 2.1e-02
DP 0.192 2.0e-02
DP 0.193 2.0e-02
DP 0.194 2.0e-02
DP 0.195 2.0e-02
DP 0.196 2.0e-02
DP 0.197 1.9e-02
DP 0.198 1.9e-02
DP 0.199 1.9e-02
DP 0.200 1.9e-02
DP 0.201 1.8e-02
DP 0.202 1.8e-02
DP 0.202 1.8e-02
DP 0.203 1.8e-02
DP 0.204 1.8e-02
DP 0.205 1.7e-02
DP 0.206 1.7e-02
DP 0.207 1.7e-02
DP 0.208 1.7e-02
DP 0.209 1.7e-02
DP 0.210 1.6e-02
DP 0.211 1.6e-02
DP 0.212 1.6e-02
DP 0.213 1.6e-02
DP 0.214 1.6e-02
DP 0.215 1.5e-02
DP 0.216 1.5e-02
DP 0.217 1.5e-02
DP 0.218 1.5e-02
DP 0.219 1.5e-02
DP 0.220 1.5e-02
DP 0.221 1.4e-02
DP 0.222 1.4e-02
DP 0.223 1.4e-02
DP 0.224 1.4e-02
DP 0.225 1.4e-02
DP 0.226 1.4e-02
DP 0.227 1.3e-02
DP 0.228 1.3e-02
DP 0.229 1.3e-02
DP 0.230 1.3e-02
DP 0.231 1.3e-02
DP 0.232 1.3e-02
DP 0.234 1.3e-02
DP 0.235 1.2e-02
DP 0.236 1.2e-02
DP 0.237 1.2e-02
DP 0.238 1.2e-02
DP 0.239 1.2e-02
DP 0.240 1.2e-02
DP 0.241 1.2e-02
DP 0.242 1.1e-02
DP 0.243 1.1e-02
DP 0.245 1.1e-02
DP 0.246 1.1e-02
DP 0.247 1.1e-02
DP 0.248 1.1e-02
DP 0.249 1.1e-02
DP 0.250 1.1e-02
DP 0.251 1.0e-02
DP 0.253 1.0e-02
DP 0.254 1.0e-02
DP 0.255 1.0e-02
DP 0.256 1.0e-02
DP 0.257 9.9e-03
DP 0.258 9.8e-03
DP 0.260 9.7e-03
DP 0.261 9.6e-03
DP 0.262 9.4e-03
DP 0.263 9.3e-03
DP 0.264 9.2e-03
DP 0.266 9.1e-03
DP 0.267 9.0e-03
DP 0.268 8.9e-03
DP 0.269 8.8e-03
DP 0.271 8.7e-03
DP 0.272 8.6e-03
DP 0.273 8.5e-03
DP 0.274 8.4e-03
DP 0.276 8.3e-03
DP 0.277 8.2e-03
DP 0.278 8.1e-03
DP 0.280 8.0e-03
DP 0.281 7.9e-03
DP 0.282 7.9e-03
DP 0.283 7.8e-03
DP 0.285 7.7e-03
DP 0.286 7.6e-03
DP 0.287 7.5e-03
DP 0.289 7.4e-03
DP 0.290 7.3e-03
DP 0.291 7.2e-03
DP 0.293 7.2e-03
DP 0.294 7.1e-03
DP 0.295 7.0e-03
DP 0.297 6.9e-03
DP 0.298 6.8e-03
DP 0.300 6.8e-03
DP 0.301 6.7e-03
DP 0.302 6.6e-03
DP 0.304 6.5e-03
DP 0.305 6.5e-03
DP 0.307 6.4e-03
DP 0.308 6.3e-03
DP 0.309 6.2e-03
DP 0.311 6.2e-03
DP 0.312 6.1e-03
DP 0.314 6.0e-03
DP 0.315 6.0e-03
DP 0.317 5.9e-03
DP 0.318 5.8e-03
DP 0.320 5.8e-03
DP 0.321 5.7e-03
DP 0.322 5.6e-03
DP 0.324 5.6e-03
DP 0.325 5.5e-03
DP 0.327 5.4e-03
DP 0.328 5.4e-03
DP 0.330 5.3e-03
DP 0.332 5.2e-03
DP 0.333 5.2e-03
DP 0.335 5.1e-03
DP 0.336 5.1e-03
DP 0.338 5.0e-03
DP 0.339 5.0e-03
DP 0.341 4.9e-03
DP 0.342 4.8e-03
DP 0.344 4.8e-03
DP 0.346 4.7e-03
DP 0.347 4.7e-03
DP 0.349 4.6e-03
DP 0.350 4.6e-03
DP 0.352 4.5e-03
DP 0.354 4.5e-03
DP 0.355 4.4e-03
DP 0.357 4.4e-03
DP 0.359 4.3e-03
DP 0.360 4.3e-03
DP 0.362 4.2e-03
DP 0.364 4.2e-03
DP 0.365 4.1e-03
DP 0.367 4.1e-03
DP 0.369 4.0e-03
DP 0.370 4.0e-03
DP 0.372 3.9e-03
DP 0.374 3.9e-03
DP 0.375 3.8e-03
DP 0.377 3.8e-03
DP 0.379 3.8e-03
DP 0.381 3.7e-03
DP 0.382 3.7e-03
DP 0.384 3.6e-03
DP 0.386 3.6e-03
DP 0.388 3.5e-03
DP 0.390 3.5e-03
DP 0.391 3.5e-03
DP 0.393 3.4e-03
DP 0.395 3.4e-03
DP 0.397 3.3e-03
DP 0.399 3.3e-03
DP 0.401 3.3e-03
DP 0.402 3.2e-03
DP 0.404 3.2e-03
DP 0.406 3.2e-03
DP 0.408 3.1e-03
DP 0.410 3.1e-03
DP 0.412 3.1e-03
DP 0.414 3.0e-03
DP 0.416 3.0e-03
DP 0.417 2.9e-03
DP 0.419 2.9e-03
DP 0.421 2.9e-03
DP 0.423 2.8e-03
DP 0.425 2.8e-03
DP 0.427 2.8e-03
DP 0.429 2.8e-03
DP 0.431 2.7e-03
DP 0.433 2.7e-03
DP 0.435 2.7e-03
DP 0.437 2.6e-03
DP 0.439 2.6e-03
DP 0.441 2.6e-03
DP 0.443 2.5e-03
DP 0.445 2.5e-03
DP 0.447 2.5e-03
DP 0.449 2.5e-03
DP 0.451 2.4e-03
DP 0.454 2.4e-03
DP 0.456 2.4e-03
DP 0.458 2.3e-03
DP 0.460 2.3e-03
DP 0.462 2.3e-03
DP 0.464 2.3e-03
DP 0.466 2.2e-03
DP 0.468 2.2e-03
DP 0.471 2.2e-03
DP 0.473 2.2e-03
DP 0.475 2.1e-03
DP 0.477 2.1e-03
DP 0.479 2.1e-03
DP 0.482 2.1e-03
DP 0.484 2.0e-03
DP 0.486 2.0e-03
DP 0.488 2.0e-03
DP 0.491 2.0e-03
DP 0.493 1.9e-03
DP 0.495 1.9e-03
DP 0.497 1.9e-03
DP 0.500 1.9e-03
DP 0.502 1.9e-03
DP 0.504 1.8e-03
DP 0.507 1.8e-03
DP 0.509 1.8e-03
DP 0.511 1.8e-03
DP 0.514 1.8e-03
DP 0.516 1.7e-03
DP 0.518 1.7e-03
DP 0.521 1.7e-03
DP 0.523 1.7e-03
DP 0.526 1.7e-03
DP 0.528 1.6e-03
DP 0.531 1.6e-03
DP 0.533 1.6e-03
DP 0.535 1.6e-03
DP 0.538 1.6e-03
DP 0.540 1.5e-03
DP 0.543 1.5e-03
DP 0.545 1.5e-03
DP 0.548 1.5e-03
DP 0.550 1.5e-03
DP 0.553 1.5e-03
DP 0.556 1.4e-03
DP 0.558 1.4e-03
DP 0.561 1.4e-03
DP 0.563 1.4e-03
DP 0.566 1.4e-03
DP 0.569 1.4e-03
DP 0.571 1.3e-03
DP 0.574 1.3e-03
DP 0.576 1.3e-03
DP 0.579 1.3e-03
DP 0.582 1.3e-03
DP 0.584 1.3e-03
DP 0.587 1.3e-03
DP 0.590 1.2e-03
DP 0.593 1.2e-03
DP 0.595 1.2e-03
DP 0.598 1.2e-03
DP 0.601 1.2e-03
DP 0.604 1.2e-03
DP 0.606 1.2e-03
DP 0.609 1.1e-03
DP 0.612 1.1e-03
DP 0.615 1.1e-03
DP 0.618 1.1e-03
DP 0.621 1.1e-03
DP 0.623 1.1e-03
DP 0.626 1.1e-03
DP 0.629 1.1e-03
DP 0.632 1.0e-03
DP 0.635 1.0e-03
DP 0.638 1.0e-03
DP 0.641 1.0e-03
DP 0.644 1.0e-03
DP 0.647 9.9e-04
DP 0.650 9.8e-04
DP 0.653 9.6e-04
DP 0.656 9.5e-04
DP 0.659 9.4e-04
DP 0.662 9.3e-04
DP 0.665 9.2e-04
DP 0.668 9.1e-04
DP 0.671 9.0e-04
DP 0.674 8.9e-04
DP 0.677 8.8e-04
DP 0.681 8.7e-04
DP 0.684 8.6e-04
DP 0.687 8.5e-04
DP 0.690 8.4e-04
DP 0.693 8.3e-04
DP 0.696 8.2e-04
DP 0.700 8.1e-04
DP 0.703 8.0e-04
DP 0.706 7.9e-04
DP 0.709 7.8e-04
DP 0.713 7.7e-04
DP 0.716 7.7e-04
DP 0.719 7.6e-04
DP 0.723 7.5e-04
DP 0.726 7.4e-04
DP 0.729 7.3e-04
DP 0.733 7.2e-04
DP 0.736 7.1e-04
DP 0.739 7.1e-04
DP 0.743 7.0e-04
DP 0.746 6.9e-04
DP 0.750 6.8e-04
DP 0.753 6.7e-04
DP 0.757 6.7e-04
DP 0.760 6.6e-04
DP 0.764 6.5e-04
DP 0.767 6.4e-04
DP 0.771 6.4e-04
DP 0.774 6.3e-04
DP 0.778 6.2e-04
DP 0.781 6.1e-04
DP 0.785 6.1e-04
DP 0.789 6.0e-04
DP 0.792 5.9e-04
DP 0.796 5.9e-04
DP 0.800 5.8e-04
DP 0.803 5.7e-04
DP 0.807 5.7e-04
DP 0.811 5.6e-04
DP 0.815 5.5e-04
DP 0.818 5.5e-04
DP 0.822 5.4e-04
DP 0.826 5.4e-04
DP 0.830 5.3e-04
DP 0.834 5.2e-04
DP 0.837 5.2e-04
DP 0.841 5.1e-04
DP 0.845 5.1e-04
DP 0.849 5.0e-04
DP 0.853 4.9e-04
DP 0.857 4.9e-04
DP 0.861 4.8e-04
DP 0.865 4.8e-04
