#Format: <DP> <Energy in keV> <Spectrum in ph cm^-2 s^-1 keV^-1>
#flux (100.0 - 10000.0 keV):  0.0005535336768481181 ph/cm^2/s
#Pivot Energy = 1 GeV (Spectrum from 4FGL-DR3)


IP LINLIN
DP 100.0 3.6e-06
DP 100.0 3.6e-06
DP 101.0 3.6e-06
DP 101.0 3.6e-06
DP 102.0 3.5e-06
DP 102.0 3.5e-06
DP 103.0 3.5e-06
DP 103.0 3.5e-06
DP 104.0 3.3999999999999996e-06
DP 104.0 3.3999999999999996e-06
DP 105.0 3.3999999999999996e-06
DP 105.0 3.3999999999999996e-06
DP 106.0 3.3e-06
DP 106.0 3.3e-06
DP 107.0 3.3e-06
DP 107.0 3.3e-06
DP 108.0 3.2000000000000003e-06
DP 108.0 3.2000000000000003e-06
DP 109.0 3.2000000000000003e-06
DP 109.0 3.2000000000000003e-06
DP 110.0 3.1e-06
DP 110.0 3.1e-06
DP 111.0 3.1e-06
DP 111.0 3.1e-06
DP 112.0 3.1e-06
DP 112.0 3e-06
DP 113.0 3e-06
DP 113.0 3e-06
DP 114.0 3e-06
DP 114.0 2.8999999999999998e-06
DP 115.0 2.8999999999999998e-06
DP 115.0 2.8999999999999998e-06
DP 116.0 2.8999999999999998e-06
DP 116.0 2.8999999999999998e-06
DP 117.0 2.8e-06
DP 118.0 2.8e-06
DP 118.0 2.8e-06
DP 119.0 2.8e-06
DP 119.0 2.8e-06
DP 120.0 2.7e-06
DP 120.0 2.7e-06
DP 121.0 2.7e-06
DP 121.0 2.7e-06
DP 122.0 2.7e-06
DP 122.0 2.5999999999999997e-06
DP 123.0 2.5999999999999997e-06
DP 124.0 2.5999999999999997e-06
DP 124.0 2.5999999999999997e-06
DP 125.0 2.5999999999999997e-06
DP 125.0 2.5e-06
DP 126.0 2.5e-06
DP 127.0 2.5e-06
DP 127.0 2.5e-06
DP 128.0 2.5e-06
DP 128.0 2.4e-06
DP 129.0 2.4e-06
DP 129.0 2.4e-06
DP 130.0 2.4e-06
DP 131.0 2.4e-06
DP 131.0 2.4e-06
DP 132.0 2.3e-06
DP 132.0 2.3e-06
DP 133.0 2.3e-06
DP 134.0 2.3e-06
DP 134.0 2.3e-06
DP 135.0 2.3e-06
DP 136.0 2.2e-06
DP 136.0 2.2e-06
DP 137.0 2.2e-06
DP 137.0 2.2e-06
DP 138.0 2.2e-06
DP 139.0 2.2e-06
DP 139.0 2.1e-06
DP 140.0 2.1e-06
DP 141.0 2.1e-06
DP 141.0 2.1e-06
DP 142.0 2.1e-06
DP 143.0 2.1e-06
DP 143.0 2e-06
DP 144.0 2e-06
DP 145.0 2e-06
DP 145.0 2e-06
DP 146.0 2e-06
DP 147.0 2e-06
DP 147.0 2e-06
DP 148.0 1.9e-06
DP 149.0 1.9e-06
DP 149.0 1.9e-06
DP 150.0 1.9e-06
DP 151.0 1.9e-06
DP 151.0 1.9e-06
DP 152.0 1.9e-06
DP 153.0 1.8e-06
DP 154.0 1.8e-06
DP 154.0 1.8e-06
DP 155.0 1.8e-06
DP 156.0 1.8e-06
