IP LINLIN
DP 1835533723.498 3.8404
DP 1835533723.5 1.8003999999999998
DP 1835533723.502 5.8704
DP 1835533723.504 1.8104000000000005
DP 1835533723.506 12.060400000000001
DP 1835533723.508 87.1404
DP 1835533723.51 282.5904
DP 1835533723.512 273.19039999999995
DP 1835533723.514 114.6304
DP 1835533723.516 93.3604
DP 1835533723.518 80.7804
DP 1835533723.52 71.8104
DP 1835533723.522 58.9004
DP 1835533723.524 56.0604
DP 1835533723.526 75.99040000000001
DP 1835533723.528 57.8404
DP 1835533723.53 56.40039999999999
DP 1835533723.532 57.0304
DP 1835533723.534 46.4504
DP 1835533723.536 36.0604
DP 1835533723.538 39.1704
DP 1835533723.54 40.290400000000005
DP 1835533723.542 40.3904
DP 1835533723.544 28.4304
DP 1835533723.546 17.510399999999997
DP 1835533723.548 23.720399999999998
DP 1835533723.55 20.7404
DP 1835533723.552 27.110400000000002
DP 1835533723.554 24.8304
DP 1835533723.556 39.3904
DP 1835533723.558 41.6204
DP 1835533723.56 35.8604
DP 1835533723.562 41.7004
DP 1835533723.564 38.4204
DP 1835533723.566 26.8904
DP 1835533723.568 21.7104
DP 1835533723.57 34.6504
DP 1835533723.572 28.0604
DP 1835533723.574 25.9804
DP 1835533723.576 32.4204
DP 1835533723.578 23.7804
DP 1835533723.58 23.6404
DP 1835533723.582 21.6304
DP 1835533723.584 18.480400000000003
DP 1835533723.586 27.980400000000003
DP 1835533723.588 17.3704
DP 1835533723.59 25.7504
DP 1835533723.592 16.2904
DP 1835533723.594 21.5104
DP 1835533723.596 17.3304
DP 1835533723.598 13.1404
DP 1835533723.6 20.5804
DP 1835533723.602 14.160400000000003
DP 1835533723.604 12.130399999999998
DP 1835533723.606 11.080400000000001
DP 1835533723.608 9.9804
DP 1835533723.61 13.130400000000002
DP 1835533723.612 13.1004
DP 1835533723.614 10.020399999999999
DP 1835533723.616 13.080400000000001
DP 1835533723.618 10.0404
DP 1835533723.62 5.900399999999999
DP 1835533723.622 9.9704
DP 1835533723.624 12.1404
DP 1835533723.626 5.900399999999999
DP 1835533723.628 6.920399999999999
DP 1835533723.63 10.0104
DP 1835533723.632 3.8704
DP 1835533723.634 6.920399999999999
DP 1835533723.636 6.8904
DP 1835533723.638 6.920399999999999
DP 1835533723.64 11.110399999999998
DP 1835533723.642 0.8003999999999998
DP 1835533723.644 9.9804
DP 1835533723.646 9.9804
DP 1835533723.648 5.8604
DP 1835533723.65 5.8804
DP 1835533723.652 11.0404
DP 1835533723.654 4.8604
DP 1835533723.656 3.8404000000000007
DP 1835533723.658 4.8604
DP 1835533723.66 5.8904
DP 1835533723.662 3.8503999999999996
DP 1835533723.664 5.8804
DP 1835533723.666 1.8103999999999996
DP 1835533723.668 5.8804
DP 1835533723.67 1.8204000000000002
DP 1835533723.672 0.0
DP 1835533723.674 1.8204000000000002
DP 1835533723.676 0.0
DP 1835533723.678 5.8704
DP 1835533723.68 5.8704
DP 1835533723.682 3.8404000000000007
DP 1835533723.684 0.8003999999999998
DP 1835533723.686 0.8003999999999998
DP 1835533723.688 3.8404000000000007
DP 1835533723.69 0.0
DP 1835533723.692 1.8104000000000005
DP 1835533723.694 1.8103999999999996
DP 1835533723.696 1.8003999999999998
DP 1835533723.698 1.8003999999999998
DP 1835533723.7 1.8104000000000005
DP 1835533723.702 1.8204000000000002
DP 1835533723.704 0.8003999999999998
DP 1835533723.706 2.8104000000000005
DP 1835533723.708 4.8604
DP 1835533723.71 1.8003999999999998
DP 1835533723.712 0.8103999999999996
DP 1835533723.714 0.8003999999999998
DP 1835533723.716 0.0
DP 1835533723.718 1.8003999999999998
DP 1835533723.72 4.8504000000000005
DP 1835533723.722 3.8404
DP 1835533723.724 0.7904
DP 1835533723.726 0.0
DP 1835533723.728 0.0
DP 1835533723.73 0.0
DP 1835533723.732 0.0
DP 1835533723.734 0.8003999999999998
DP 1835533723.736 0.0
DP 1835533723.738 4.8604
DP 1835533723.74 2.8304
DP 1835533723.742 0.0
DP 1835533723.744 4.8603999999999985
DP 1835533723.746 0.0
DP 1835533723.748 0.8003999999999998
DP 1835533723.75 2.8104000000000005
DP 1835533723.752 0.0
DP 1835533723.754 0.0
DP 1835533723.756 0.0
DP 1835533723.758 3.8304
DP 1835533723.76 0.0
DP 1835533723.762 2.8104000000000005
DP 1835533723.764 2.8203999999999994
DP 1835533723.766 2.8104000000000005
DP 1835533723.768 0.0
DP 1835533723.77 2.8204000000000002
DP 1835533723.772 0.0
DP 1835533723.774 0.0
DP 1835533723.776 0.8003999999999998
