IP LINLIN
DP 1835488380.0 0.0
DP 1835488380.0005 0.0
DP 1835488380.001 0.0
DP 1835488380.0015 0.0
DP 1835488380.002 0.0
DP 1835488380.0025 0.0
DP 1835488380.003 0.0
DP 1835488380.0035 0.0
DP 1835488380.004 0.0
DP 1835488380.0045 0.0
DP 1835488380.005 0.0
DP 1835488380.0055 0.0
DP 1835488380.006 0.0
DP 1835488380.0065 0.0
DP 1835488380.007 0.0
DP 1835488380.0075 0.0
DP 1835488380.008 0.0
DP 1835488380.0085 0.0
DP 1835488380.009 0.0
DP 1835488380.0095 0.0
DP 1835488380.01 0.0
DP 1835488380.0105 0.0
DP 1835488380.011 0.0
DP 1835488380.0115 0.0
DP 1835488380.012 0.0
DP 1835488380.0125 0.0
DP 1835488380.013 0.0
DP 1835488380.0135 0.0
DP 1835488380.014 0.0
DP 1835488380.0145 0.0
DP 1835488380.015 0.0
DP 1835488380.0155 0.0
DP 1835488380.016 0.0
DP 1835488380.0165 0.0
DP 1835488380.017 0.0
DP 1835488380.0175 0.0
DP 1835488380.018 0.0
DP 1835488380.0185 0.0
DP 1835488380.019 0.0
DP 1835488380.0195 0.0
DP 1835488380.02 0.0
DP 1835488380.0205 0.0
DP 1835488380.021 0.0
DP 1835488380.0215 0.0
DP 1835488380.022 0.0
DP 1835488380.0225 0.0
DP 1835488380.023 0.0
DP 1835488380.0235 0.0
DP 1835488380.024 0.0
DP 1835488380.0245 0.0
DP 1835488380.025 0.0
DP 1835488380.0255 0.0
DP 1835488380.026 0.0
DP 1835488380.0265 0.0
DP 1835488380.027 0.0
DP 1835488380.0275 0.0
DP 1835488380.028 0.0
DP 1835488380.0285 0.0
DP 1835488380.029 0.0
DP 1835488380.0295 0.0
DP 1835488380.03 0.0
DP 1835488380.0305 0.0
DP 1835488380.031 0.0
DP 1835488380.0315 0.0
DP 1835488380.032 0.0
DP 1835488380.0325 0.0
DP 1835488380.033 0.0
DP 1835488380.0335 0.0
DP 1835488380.034 0.0
DP 1835488380.0345 0.0
DP 1835488380.035 0.0
DP 1835488380.0355 0.0
DP 1835488380.036 0.0
DP 1835488380.0365 0.0
DP 1835488380.037 0.0
DP 1835488380.0375 0.0
DP 1835488380.038 0.0
DP 1835488380.0385 0.0
DP 1835488380.039 0.0
DP 1835488380.0395 0.0
DP 1835488380.04 0.0
DP 1835488380.0405 0.0
DP 1835488380.041 0.0
DP 1835488380.0415 0.0
DP 1835488380.042 0.0
DP 1835488380.0425 0.0
DP 1835488380.043 0.0
DP 1835488380.0435 0.0
DP 1835488380.044 0.0
DP 1835488380.0445 0.0
DP 1835488380.045 0.0
DP 1835488380.0455 0.0
DP 1835488380.046 0.0
DP 1835488380.0465 0.0
DP 1835488380.047 0.0
DP 1835488380.0475 0.0
DP 1835488380.048 0.0
DP 1835488380.0485 0.0
DP 1835488380.049 0.0
DP 1835488380.0495 0.0
DP 1835488380.05 0.0
DP 1835488380.0505 0.0
DP 1835488380.051 0.0
DP 1835488380.0515 0.0
DP 1835488380.052 0.0
DP 1835488380.0525 0.0
DP 1835488380.053 0.0
DP 1835488380.0535 0.0
DP 1835488380.054 0.0
DP 1835488380.0545 0.0
DP 1835488380.055 0.0
DP 1835488380.0555 0.0
DP 1835488380.056 0.0
DP 1835488380.0565 0.0
DP 1835488380.057 0.0
DP 1835488380.0575 0.0
DP 1835488380.058 0.0
DP 1835488380.0585 0.0
DP 1835488380.059 0.0
DP 1835488380.0595 0.0
DP 1835488380.06 0.0
DP 1835488380.0605 0.0
DP 1835488380.061 0.0
DP 1835488380.0615 0.0
DP 1835488380.062 0.0
DP 1835488380.0625 0.0
DP 1835488380.063 0.0
DP 1835488380.0635 0.0
DP 1835488380.064 0.0
DP 1835488380.0645 0.0
DP 1835488380.065 0.0
DP 1835488380.0655 0.0
DP 1835488380.066 0.0
DP 1835488380.0665 0.0
DP 1835488380.067 0.0
DP 1835488380.0675 0.0
DP 1835488380.068 0.0
DP 1835488380.0685 0.0
DP 1835488380.069 0.0
DP 1835488380.0695 0.0
DP 1835488380.07 0.0
DP 1835488380.0705 0.0
DP 1835488380.071 0.0
DP 1835488380.0715 0.0
DP 1835488380.072 0.0
DP 1835488380.0725 0.0
DP 1835488380.073 0.0
DP 1835488380.0735 0.0
DP 1835488380.074 0.0
DP 1835488380.0745 0.0
DP 1835488380.075 0.0
DP 1835488380.0755 0.0
DP 1835488380.076 0.0
DP 1835488380.0765 0.0
DP 1835488380.077 0.0
DP 1835488380.0775 0.0
DP 1835488380.078 0.0
DP 1835488380.0785 0.0
DP 1835488380.079 0.0
DP 1835488380.0795 0.0
DP 1835488380.08 0.0
DP 1835488380.0805 0.0
DP 1835488380.081 0.0
DP 1835488380.0815 0.0
DP 1835488380.082 0.0
DP 1835488380.0825 0.0
DP 1835488380.083 0.0
DP 1835488380.0835 0.0
DP 1835488380.084 13881.1
DP 1835488380.0845 20482.2
DP 1835488380.085 0.0
DP 1835488380.0855 20160.5
DP 1835488380.086 32374.1
DP 1835488380.0865 46129.6
DP 1835488380.087 32374.1
DP 1835488380.0875 39666.5
DP 1835488380.088 27265.5
DP 1835488380.0885 60681.3
DP 1835488380.089 29258.0
DP 1835488380.0895 8838.6
DP 1835488380.09 2338.7
DP 1835488380.0905 6648.3
DP 1835488380.091 218.6
DP 1835488380.0915 130.9
DP 1835488380.092 0.0
DP 1835488380.0925 0.0
DP 1835488380.093 22502.0
DP 1835488380.0935 40775.5
DP 1835488380.094 35123.2
DP 1835488380.0945 6648.4
DP 1835488380.095 4347.5
DP 1835488380.0955 2228.0
DP 1835488380.096 174.6
DP 1835488380.0965 2338.8
DP 1835488380.097 34127.0
DP 1835488380.0975 174.6
DP 1835488380.098 10844.8
DP 1835488380.0985 10948.4
DP 1835488380.099 6568.7
DP 1835488380.0995 0.0
DP 1835488380.1 2228.0
DP 1835488380.1005 4347.5
DP 1835488380.101 8746.6
DP 1835488380.1015 174.6
DP 1835488380.102 2228.0
DP 1835488380.1025 4414.4
DP 1835488380.103 0.0
DP 1835488380.1035 131.0
DP 1835488380.104 0.0
DP 1835488380.1045 4414.4
DP 1835488380.105 13634.3
DP 1835488380.1055 131.0
DP 1835488380.106 4414.4
DP 1835488380.1065 131.0
DP 1835488380.107 6568.8
DP 1835488380.1075 10844.9
DP 1835488380.108 0.0
DP 1835488380.1085 17558.4
DP 1835488380.109 6568.8
DP 1835488380.1095 131.1
DP 1835488380.11 0.0
DP 1835488380.1105 0.0
DP 1835488380.111 6648.5
DP 1835488380.1115 6490.0
DP 1835488380.112 10844.9
DP 1835488380.1125 0.0
DP 1835488380.113 15295.9
DP 1835488380.1135 2283.2
DP 1835488380.114 0.0
DP 1835488380.1145 0.0
DP 1835488380.115 0.0
DP 1835488380.1155 0.0
DP 1835488380.116 2443.4
DP 1835488380.1165 4608.7
DP 1835488380.117 346.9
DP 1835488380.1175 0.0
DP 1835488380.118 2283.2
DP 1835488380.1185 0.0
DP 1835488380.119 8746.8
DP 1835488380.1195 0.0
DP 1835488380.12 0.0
DP 1835488380.1205 0.0
DP 1835488380.121 301.5
DP 1835488380.1215 6880.2
DP 1835488380.122 2339.0
DP 1835488380.1225 0.0
DP 1835488380.123 2228.2
DP 1835488380.1235 4414.5
DP 1835488380.124 6490.1
DP 1835488380.1245 2500.9
DP 1835488380.125 0.0
DP 1835488380.1255 0.0
DP 1835488380.126 4414.6
DP 1835488380.1265 0.0
DP 1835488380.127 0.0
DP 1835488380.1275 0.0
DP 1835488380.128 0.0
DP 1835488380.1285 131.2
DP 1835488380.129 6569.0
DP 1835488380.1295 131.2
DP 1835488380.13 131.2
DP 1835488380.1305 0.0
DP 1835488380.131 0.0
DP 1835488380.1315 10845.1
DP 1835488380.132 2228.2
DP 1835488380.1325 131.2
DP 1835488380.133 0.0
DP 1835488380.1335 174.9
DP 1835488380.134 0.0
DP 1835488380.1345 0.0
DP 1835488380.135 0.0
DP 1835488380.1355 4347.8
DP 1835488380.136 2443.5
DP 1835488380.1365 0.0
DP 1835488380.137 0.0
DP 1835488380.1375 0.0
DP 1835488380.138 131.3
DP 1835488380.1385 347.1
DP 1835488380.139 0.0
DP 1835488380.1395 6798.2
DP 1835488380.14 2283.4
DP 1835488380.1405 0.0
DP 1835488380.141 0.0
DP 1835488380.1415 131.3
DP 1835488380.142 4347.8
DP 1835488380.1425 4347.8
DP 1835488380.143 0.0
DP 1835488380.1435 0.0
DP 1835488380.144 131.3
DP 1835488380.1445 131.3
DP 1835488380.145 0.0
DP 1835488380.1455 301.7
DP 1835488380.146 2228.4
DP 1835488380.1465 0.0
DP 1835488380.147 4347.9
DP 1835488380.1475 0.0
DP 1835488380.148 0.0
DP 1835488380.1485 0.0
DP 1835488380.149 6569.1
DP 1835488380.1495 0.0
DP 1835488380.15 0.0
DP 1835488380.1505 0.0
DP 1835488380.151 175.0
DP 1835488380.1515 0.0
DP 1835488380.152 0.0
DP 1835488380.1525 2228.4
DP 1835488380.153 4414.8
DP 1835488380.1535 13058.5
DP 1835488380.154 2443.7
DP 1835488380.1545 0.0
DP 1835488380.155 0.0
DP 1835488380.1555 0.0
DP 1835488380.156 4348.0
DP 1835488380.1565 175.1
DP 1835488380.157 2443.7
DP 1835488380.1575 0.0
DP 1835488380.158 8747.1
DP 1835488380.1585 0.0
DP 1835488380.159 0.0
DP 1835488380.1595 4348.0
DP 1835488380.16 2283.6
DP 1835488380.1605 0.0
DP 1835488380.161 0.0
DP 1835488380.1615 0.0
DP 1835488380.162 2339.3
DP 1835488380.1625 0.0
DP 1835488380.163 0.0
DP 1835488380.1635 2443.7
DP 1835488380.164 0.0
DP 1835488380.1645 0.0
DP 1835488380.165 8747.1
DP 1835488380.1655 2228.5
DP 1835488380.166 2228.5
DP 1835488380.1665 0.0
DP 1835488380.167 0.0
DP 1835488380.1675 301.9
DP 1835488380.168 2501.2
DP 1835488380.1685 8839.2
DP 1835488380.169 2228.5
DP 1835488380.1695 8656.1
DP 1835488380.17 4414.9
DP 1835488380.1705 175.2
DP 1835488380.171 131.6
DP 1835488380.1715 0.0
DP 1835488380.172 4348.1
DP 1835488380.1725 0.0
DP 1835488380.173 0.0
DP 1835488380.1735 0.0
DP 1835488380.174 0.0
DP 1835488380.1745 8656.1
DP 1835488380.175 131.6
DP 1835488380.1755 4415.0
DP 1835488380.176 0.0
DP 1835488380.1765 8656.2
DP 1835488380.177 0.0
DP 1835488380.1775 0.0
DP 1835488380.178 175.2
DP 1835488380.1785 2283.7
DP 1835488380.179 6729.6
DP 1835488380.1795 0.0
DP 1835488380.18 2283.7
DP 1835488380.1805 4348.2
DP 1835488380.181 11159.7
DP 1835488380.1815 4415.0
DP 1835488380.182 0.0
DP 1835488380.1825 2395.8
DP 1835488380.183 131.7
DP 1835488380.1835 0.0
DP 1835488380.184 0.0
DP 1835488380.1845 0.0
DP 1835488380.185 9107.0
DP 1835488380.1855 0.0
DP 1835488380.186 6569.4
DP 1835488380.1865 0.0
DP 1835488380.187 2228.7
DP 1835488380.1875 8747.3
DP 1835488380.188 8839.4
DP 1835488380.1885 15296.5
DP 1835488380.189 0.0
DP 1835488380.1895 4609.3
DP 1835488380.19 2228.7
DP 1835488380.1905 0.0
DP 1835488380.191 264.0
DP 1835488380.1915 131.7
DP 1835488380.192 0.0
DP 1835488380.1925 0.0
DP 1835488380.193 4348.3
DP 1835488380.1935 0.0
DP 1835488380.194 0.0
DP 1835488380.1945 0.0
DP 1835488380.195 6569.5
DP 1835488380.1955 0.0
DP 1835488380.196 0.0
DP 1835488380.1965 2339.6
DP 1835488380.197 0.0
DP 1835488380.1975 0.0
DP 1835488380.198 0.0
DP 1835488380.1985 131.8
DP 1835488380.199 0.0
DP 1835488380.1995 8656.3
DP 1835488380.2 131.8
DP 1835488380.2005 10845.6
DP 1835488380.201 4609.4
DP 1835488380.2015 0.0
DP 1835488380.202 0.0
DP 1835488380.2025 2283.9
DP 1835488380.203 2283.9
DP 1835488380.2035 0.0
DP 1835488380.204 0.0
DP 1835488380.2045 2339.6
DP 1835488380.205 2283.9
DP 1835488380.2055 4482.8
DP 1835488380.206 0.0
DP 1835488380.2065 4348.4
DP 1835488380.207 219.5
DP 1835488380.2075 6798.7
DP 1835488380.208 175.5
DP 1835488380.2085 2228.9
DP 1835488380.209 0.0
DP 1835488380.2095 131.9
DP 1835488380.21 302.2
DP 1835488380.2105 131.9
DP 1835488380.211 0.0
DP 1835488380.2115 2228.9
DP 1835488380.212 0.0
DP 1835488380.2125 175.5
DP 1835488380.213 6569.6
DP 1835488380.2135 0.0
DP 1835488380.214 0.0
DP 1835488380.2145 0.0
DP 1835488380.215 0.0
DP 1835488380.2155 0.0
DP 1835488380.216 0.0
DP 1835488380.2165 0.0
DP 1835488380.217 0.0
DP 1835488380.2175 131.9
DP 1835488380.218 0.0
DP 1835488380.2185 131.9
DP 1835488380.219 2339.8
DP 1835488380.2195 0.0
DP 1835488380.22 2229.0
DP 1835488380.2205 302.3
DP 1835488380.221 132.0
DP 1835488380.2215 0.0
DP 1835488380.222 0.0
DP 1835488380.2225 132.0
DP 1835488380.223 2284.1
DP 1835488380.2235 0.0
DP 1835488380.224 2284.1
DP 1835488380.2245 302.3
DP 1835488380.225 0.0
DP 1835488380.2255 132.0
DP 1835488380.226 0.0
DP 1835488380.2265 2444.2
DP 1835488380.227 0.0
DP 1835488380.2275 0.0
DP 1835488380.228 175.6
DP 1835488380.2285 0.0
DP 1835488380.229 4348.5
DP 1835488380.2295 219.7
DP 1835488380.23 0.0
DP 1835488380.2305 10949.4
DP 1835488380.231 0.0
DP 1835488380.2315 0.0
DP 1835488380.232 0.0
DP 1835488380.2325 2339.9
DP 1835488380.233 132.1
DP 1835488380.2335 4348.6
DP 1835488380.234 4348.6
DP 1835488380.2345 4609.7
DP 1835488380.235 0.0
DP 1835488380.2355 8747.7
DP 1835488380.236 10845.9
DP 1835488380.2365 175.7
DP 1835488380.237 0.0
DP 1835488380.2375 6798.9
DP 1835488380.238 6491.0
DP 1835488380.2385 0.0
DP 1835488380.239 0.0
DP 1835488380.2395 0.0
DP 1835488380.24 0.0
DP 1835488380.2405 0.0
DP 1835488380.241 0.0
DP 1835488380.2415 0.0
DP 1835488380.242 0.0
DP 1835488380.2425 0.0
DP 1835488380.243 0.0
DP 1835488380.2435 0.0
DP 1835488380.244 0.0
DP 1835488380.2445 0.0
DP 1835488380.245 0.0
DP 1835488380.2455 0.0
DP 1835488380.246 0.0
DP 1835488380.2465 0.0
DP 1835488380.247 0.0
DP 1835488380.2475 0.0
DP 1835488380.248 0.0
DP 1835488380.2485 0.0
DP 1835488380.249 0.0
DP 1835488380.2495 0.0
DP 1835488380.25 0.0
DP 1835488380.2505 0.0
DP 1835488380.251 0.0
DP 1835488380.2515 0.0
DP 1835488380.252 0.0
DP 1835488380.2525 0.0
DP 1835488380.253 0.0
DP 1835488380.2535 0.0
DP 1835488380.254 0.0
DP 1835488380.2545 0.0
DP 1835488380.255 0.0
DP 1835488380.2555 0.0
DP 1835488380.256 0.0
DP 1835488380.2565 0.0
DP 1835488380.257 0.0
DP 1835488380.2575 0.0
DP 1835488380.258 0.0
DP 1835488380.2585 0.0
DP 1835488380.259 0.0
DP 1835488380.2595 0.0
DP 1835488380.26 0.0
DP 1835488380.2605 0.0
DP 1835488380.261 0.0
DP 1835488380.2615 0.0
DP 1835488380.262 0.0
DP 1835488380.2625 0.0
DP 1835488380.263 0.0
DP 1835488380.2635 0.0
DP 1835488380.264 0.0
DP 1835488380.2645 0.0
DP 1835488380.265 0.0
DP 1835488380.2655 0.0
DP 1835488380.266 0.0
DP 1835488380.2665 0.0
DP 1835488380.267 0.0
DP 1835488380.2675 0.0
DP 1835488380.268 0.0
DP 1835488380.2685 0.0
DP 1835488380.269 0.0
DP 1835488380.2695 0.0
DP 1835488380.27 0.0
DP 1835488380.2705 0.0
DP 1835488380.271 0.0
DP 1835488380.2715 0.0
DP 1835488380.272 0.0
DP 1835488380.2725 0.0
DP 1835488380.273 0.0
DP 1835488380.2735 0.0
