IP LINLIN
DP 1835533696.0 0.0
DP 1835533696.0005 0.0
DP 1835533696.001 0.0
DP 1835533696.0015 0.0
DP 1835533696.002 0.0
DP 1835533696.0025 0.0
DP 1835533696.003 0.0
DP 1835533696.0035 0.0
DP 1835533696.004 0.0
DP 1835533696.0045 0.0
DP 1835533696.005 0.0
DP 1835533696.0055 0.0
DP 1835533696.006 0.0
DP 1835533696.0065 0.0
DP 1835533696.007 0.0
DP 1835533696.0075 0.0
DP 1835533696.008 0.0
DP 1835533696.0085 0.0
DP 1835533696.009 0.0
DP 1835533696.0095 0.0
DP 1835533696.01 0.0
DP 1835533696.0105 0.0
DP 1835533696.011 0.0
DP 1835533696.0115 0.0
DP 1835533696.012 0.0
DP 1835533696.0125 0.0
DP 1835533696.013 0.0
DP 1835533696.0135 0.0
DP 1835533696.014 0.0
DP 1835533696.0145 0.0
DP 1835533696.015 0.0
DP 1835533696.0155 0.0
DP 1835533696.016 0.0
DP 1835533696.0165 0.0
DP 1835533696.017 0.0
DP 1835533696.0175 0.0
DP 1835533696.018 0.0
DP 1835533696.0185 0.0
DP 1835533696.019 0.0
DP 1835533696.0195 0.0
DP 1835533696.02 0.0
DP 1835533696.0205 0.0
DP 1835533696.021 0.0
DP 1835533696.0215 0.0
DP 1835533696.022 0.0
DP 1835533696.0225 0.0
DP 1835533696.023 0.0
DP 1835533696.0235 0.0
DP 1835533696.024 0.0
DP 1835533696.0245 0.0
DP 1835533696.025 0.0
DP 1835533696.0255 0.0
DP 1835533696.026 0.0
DP 1835533696.0265 0.0
DP 1835533696.027 0.0
DP 1835533696.0275 0.0
DP 1835533696.028 0.0
DP 1835533696.0285 0.0
DP 1835533696.029 0.0
DP 1835533696.0295 0.0
DP 1835533696.03 0.0
DP 1835533696.0305 0.0
DP 1835533696.031 0.0
DP 1835533696.0315 0.0
DP 1835533696.032 0.0
DP 1835533696.0325 0.0
DP 1835533696.033 0.0
DP 1835533696.0335 0.0
DP 1835533696.034 0.0
DP 1835533696.0345 0.0
DP 1835533696.035 0.0
DP 1835533696.0355 0.0
DP 1835533696.036 0.0
DP 1835533696.0365 0.0
DP 1835533696.037 0.0
DP 1835533696.0375 0.0
DP 1835533696.038 0.0
DP 1835533696.0385 0.0
DP 1835533696.039 0.0
DP 1835533696.0395 0.0
DP 1835533696.04 0.0
DP 1835533696.0405 0.0
DP 1835533696.041 0.0
DP 1835533696.0415 0.0
DP 1835533696.042 0.0
DP 1835533696.0425 0.0
DP 1835533696.043 0.0
DP 1835533696.0435 0.0
DP 1835533696.044 0.0
DP 1835533696.0445 0.0
DP 1835533696.045 0.0
DP 1835533696.0455 0.0
DP 1835533696.046 0.0
DP 1835533696.0465 0.0
DP 1835533696.047 0.0
DP 1835533696.0475 0.0
DP 1835533696.048 0.0
DP 1835533696.0485 0.0
DP 1835533696.049 0.0
DP 1835533696.0495 0.0
DP 1835533696.05 0.0
DP 1835533696.0505 0.0
DP 1835533696.051 0.0
DP 1835533696.0515 0.0
DP 1835533696.052 0.0
DP 1835533696.0525 0.0
DP 1835533696.053 0.0
DP 1835533696.0535 0.0
DP 1835533696.054 0.0
DP 1835533696.0545 0.0
DP 1835533696.055 0.0
DP 1835533696.0555 0.0
DP 1835533696.056 0.0
DP 1835533696.0565 0.0
DP 1835533696.057 0.0
DP 1835533696.0575 0.0
DP 1835533696.058 0.0
DP 1835533696.0585 0.0
DP 1835533696.059 0.0
DP 1835533696.0595 0.0
DP 1835533696.06 0.0
DP 1835533696.0605 0.0
DP 1835533696.061 0.0
DP 1835533696.0615 0.0
DP 1835533696.062 0.0
DP 1835533696.0625 0.0
DP 1835533696.063 0.0
DP 1835533696.0635 0.0
DP 1835533696.064 0.0
DP 1835533696.0645 0.0
DP 1835533696.065 0.0
DP 1835533696.0655 0.0
DP 1835533696.066 4006.5
DP 1835533696.0665 6126.0
DP 1835533696.067 10434.1
DP 1835533696.0675 1909.5
DP 1835533696.068 0.0
DP 1835533696.0685 0.0
DP 1835533696.069 8495.1
DP 1835533696.0695 1909.6
DP 1835533696.07 1909.6
DP 1835533696.0705 2035.0
DP 1835533696.071 0.0
DP 1835533696.0715 1909.6
DP 1835533696.072 0.0
DP 1835533696.0725 1909.6
DP 1835533696.073 6126.2
DP 1835533696.0735 0.0
DP 1835533696.074 0.0
DP 1835533696.0745 1909.7
DP 1835533696.075 0.0
DP 1835533696.0755 8268.6
DP 1835533696.076 6318.4
DP 1835533696.0765 0.0
DP 1835533696.077 8268.6
DP 1835533696.0775 0.0
DP 1835533696.078 4222.0
DP 1835533696.0785 4006.7
DP 1835533696.079 4006.7
DP 1835533696.0795 0.0
DP 1835533696.08 4165.2
DP 1835533696.0805 1909.8
DP 1835533696.081 8268.7
DP 1835533696.0815 1909.8
DP 1835533696.082 8268.7
DP 1835533696.0825 1909.8
DP 1835533696.083 23938.3
DP 1835533696.0835 10790.2
DP 1835533696.084 14836.9
DP 1835533696.0845 38907.0
DP 1835533696.085 8347.6
DP 1835533696.0855 25116.0
DP 1835533696.086 26277.9
DP 1835533696.0865 28843.0
DP 1835533696.087 24108.7
DP 1835533696.0875 20171.7
DP 1835533696.088 15071.0
DP 1835533696.0885 21625.0
DP 1835533696.089 1909.9
DP 1835533696.0895 44014.2
DP 1835533696.09 35906.0
DP 1835533696.0905 14953.4
DP 1835533696.091 33457.6
DP 1835533696.0915 26278.0
DP 1835533696.092 17446.9
DP 1835533696.0925 10434.5
DP 1835533696.093 6126.5
DP 1835533696.0935 10434.5
DP 1835533696.094 17204.2
DP 1835533696.0945 19337.3
DP 1835533696.095 52619.0
DP 1835533696.0955 21781.5
DP 1835533696.096 33457.7
DP 1835533696.0965 24108.9
DP 1835533696.097 31251.1
DP 1835533696.0975 17335.1
DP 1835533696.098 21625.1
DP 1835533696.0985 19337.4
DP 1835533696.099 21625.2
DP 1835533696.0995 33457.7
DP 1835533696.1 12727.5
DP 1835533696.1005 17204.3
DP 1835533696.101 19337.4
DP 1835533696.1015 12623.9
DP 1835533696.102 10434.7
DP 1835533696.1025 19337.5
DP 1835533696.103 29216.9
DP 1835533696.1035 12727.6
DP 1835533696.104 6193.5
DP 1835533696.1045 14837.3
DP 1835533696.105 19337.5
DP 1835533696.1055 12921.8
DP 1835533696.106 8742.4
DP 1835533696.1065 19748.1
DP 1835533696.107 15292.0
DP 1835533696.1075 12921.9
DP 1835533696.108 4007.2
DP 1835533696.1085 10434.8
DP 1835533696.109 17075.1
DP 1835533696.1095 6193.6
DP 1835533696.11 10790.6
DP 1835533696.1105 10434.8
DP 1835533696.111 12624.1
DP 1835533696.1115 10434.8
DP 1835533696.112 10434.9
DP 1835533696.1125 12624.1
DP 1835533696.113 4062.4
DP 1835533696.1135 0.0
DP 1835533696.114 1953.9
DP 1835533696.1145 12727.7
DP 1835533696.115 13137.0
DP 1835533696.1155 10434.9
DP 1835533696.116 10526.0
DP 1835533696.1165 4062.5
DP 1835533696.117 10526.0
DP 1835533696.1175 12624.2
DP 1835533696.118 6126.9
DP 1835533696.1185 12624.2
DP 1835533696.119 0.0
DP 1835533696.1195 12624.2
DP 1835533696.12 8269.3
DP 1835533696.1205 10435.0
DP 1835533696.121 8577.3
DP 1835533696.1215 8496.0
DP 1835533696.122 19337.8
DP 1835533696.1225 8269.4
DP 1835533696.123 8269.4
DP 1835533696.1235 8269.4
DP 1835533696.124 0.0
DP 1835533696.1245 1910.5
DP 1835533696.125 12624.3
DP 1835533696.1255 4007.5
DP 1835533696.126 12624.4
DP 1835533696.1265 6193.9
DP 1835533696.127 6127.1
DP 1835533696.1275 10435.1
DP 1835533696.128 10435.1
DP 1835533696.1285 6319.3
DP 1835533696.129 12922.2
DP 1835533696.1295 8269.5
DP 1835533696.13 0.0
DP 1835533696.1305 4166.0
DP 1835533696.131 0.0
DP 1835533696.1315 8269.5
DP 1835533696.132 8348.4
DP 1835533696.1325 1910.6
DP 1835533696.133 6194.0
DP 1835533696.1335 1954.3
DP 1835533696.134 8269.6
DP 1835533696.1345 6127.2
DP 1835533696.135 2036.1
DP 1835533696.1355 6127.2
DP 1835533696.136 1910.7
DP 1835533696.1365 0.0
DP 1835533696.137 6127.2
DP 1835533696.1375 4007.7
DP 1835533696.138 4062.9
DP 1835533696.1385 6127.3
DP 1835533696.139 4007.8
DP 1835533696.1395 4062.9
DP 1835533696.14 6194.1
DP 1835533696.1405 0.0
DP 1835533696.141 6194.2
DP 1835533696.1415 1910.8
DP 1835533696.142 4007.8
DP 1835533696.1425 1910.8
DP 1835533696.143 1910.8
DP 1835533696.1435 6319.5
DP 1835533696.144 4007.8
DP 1835533696.1445 0.0
DP 1835533696.145 0.0
DP 1835533696.1455 10435.4
DP 1835533696.146 0.0
DP 1835533696.1465 0.0
DP 1835533696.147 0.0
DP 1835533696.1475 6127.4
DP 1835533696.148 6127.4
DP 1835533696.1485 10697.3
DP 1835533696.149 0.0
DP 1835533696.1495 1910.9
DP 1835533696.15 1910.9
DP 1835533696.1505 0.0
DP 1835533696.151 4008.0
DP 1835533696.1515 4008.0
DP 1835533696.152 1911.0
DP 1835533696.1525 4008.0
DP 1835533696.153 1911.0
DP 1835533696.1535 6127.5
DP 1835533696.154 6127.5
DP 1835533696.1545 0.0
DP 1835533696.155 8428.5
DP 1835533696.1555 2036.4
DP 1835533696.156 0.0
DP 1835533696.1565 0.0
DP 1835533696.157 4166.5
DP 1835533696.1575 0.0
DP 1835533696.158 1911.1
DP 1835533696.1585 1911.1
DP 1835533696.159 1911.1
DP 1835533696.1595 0.0
DP 1835533696.16 1911.1
DP 1835533696.1605 1911.1
DP 1835533696.161 4008.1
DP 1835533696.1615 0.0
DP 1835533696.162 10435.7
DP 1835533696.1625 0.0
DP 1835533696.163 0.0
DP 1835533696.1635 0.0
DP 1835533696.164 0.0
DP 1835533696.1645 0.0
DP 1835533696.165 0.0
DP 1835533696.1655 0.0
DP 1835533696.166 0.0
DP 1835533696.1665 0.0
DP 1835533696.167 0.0
DP 1835533696.1675 0.0
DP 1835533696.168 0.0
DP 1835533696.1685 0.0
DP 1835533696.169 0.0
DP 1835533696.1695 0.0
DP 1835533696.17 0.0
DP 1835533696.1705 0.0
DP 1835533696.171 0.0
DP 1835533696.1715 0.0
DP 1835533696.172 0.0
DP 1835533696.1725 0.0
DP 1835533696.173 0.0
DP 1835533696.1735 0.0
DP 1835533696.174 0.0
