IP LINLIN
DP 1837365120.0 0.0
DP 1837365120.031250 30.00
DP 1837365120.062500 15.00
DP 1837365120.093750 9.00
DP 1837365120.125000 10.00
DP 1837365120.156250 10.00
DP 1837365120.187500 5.00
DP 1837365120.218750 10.00
DP 1837365120.250000 4.00
DP 1837365120.281250 11.00
DP 1837365120.312500 5.00
DP 1837365120.343750 3.00
DP 1837365120.375000 5.00
DP 1837365120.406250 9.00
DP 1837365120.437500 6.00
DP 1837365120.468750 9.00
DP 1837365120.500000 12.00
DP 1837365120.531250 7.00
DP 1837365120.562500 5.00
DP 1837365120.593750 2.00
DP 1837365120.625000 1.00
DP 1837365120.656250 6.00
DP 1837365120.687500 2.00
DP 1837365120.718750 1.00
DP 1837365120.750000 3.00
DP 1837365120.781250 3.00
DP 1837365120.812500 0.00
DP 1837365120.843750 3.00
DP 1837365120.875000 3.00
DP 1837365120.906250 0.00
EN
