IP LINLIN
DP 1835640345.000000 0.00
DP 1835640345.016070 0.00
DP 1835640345.022513 472.91
DP 1835640345.027263 467.29
DP 1835640345.032348 0.00
DP 1835640345.037575 551.96
DP 1835640345.042988 0.00
DP 1835640345.047528 650.07
DP 1835640345.052549 314.80
DP 1835640345.058042 58.59
DP 1835640345.062457 39.53
DP 1835640345.067870 352.93
DP 1835640345.072862 371.99
DP 1835640345.078009 80.45
DP 1835640345.082690 55.78
DP 1835640345.087291 374.79
DP 1835640345.092970 36.72
DP 1835640345.102034 39.53
DP 1835640345.107463 393.85
DP 1835640345.112298 1459.64
DP 1835640345.117509 571.02
DP 1835640345.122501 295.74
DP 1835640345.127494 1102.51
DP 1835640345.132470 1225.30
DP 1835640345.137571 2015.81
DP 1835640345.142407 887.22
DP 1835640345.147367 571.02
DP 1835640345.152485 810.98
DP 1835640345.157586 415.72
DP 1835640345.162248 118.58
DP 1835640345.167507 631.01
DP 1835640345.172592 1105.32
DP 1835640345.177460 947.21
DP 1835640345.182561 748.18
DP 1835640345.187412 969.08
DP 1835640345.192514 216.69
DP 1835640345.197490 453.84
DP 1835640345.202467 789.11
DP 1835640345.207677 1304.35
DP 1835640345.212278 890.03
DP 1835640345.217505 1854.90
DP 1835640345.222558 944.41
DP 1835640345.227708 371.99
DP 1835640345.232543 631.01
DP 1835640345.237629 235.75
DP 1835640345.242278 350.12
DP 1835640345.247598 1459.64
DP 1835640345.252449 587.27
DP 1835640345.257377 1127.18
DP 1835640345.262543 317.61
DP 1835640345.267455 748.18
DP 1835640345.272213 590.08
DP 1835640345.276862 374.79
DP 1835640345.282416 1023.46
DP 1835640345.287158 549.15
DP 1835640345.292151 571.02
DP 1835640345.297346 1969.27
DP 1835640345.302383 1617.75
DP 1835640345.307189 1598.69
DP 1835640345.312259 590.08
DP 1835640345.317376 1933.95
DP 1835640345.322587 1225.30
DP 1835640345.327454 3776.81
DP 1835640345.332289 2244.55
DP 1835640345.337407 1421.52
DP 1835640345.342117 1683.35
DP 1835640345.347453 2310.15
DP 1835640345.352429 2487.31
DP 1835640345.357515 3714.01
DP 1835640345.362366 2806.32
DP 1835640345.367233 4697.95
DP 1835640345.372574 2241.92
DP 1835640345.377592 2394.42
DP 1835640345.382610 4338.68
DP 1835640345.387628 6892.90
DP 1835640345.392428 2966.26
DP 1835640345.397446 6168.57
DP 1835640345.402464 4414.92
DP 1835640345.407482 3652.47
DP 1835640345.412390 2737.52
DP 1835640345.417299 3690.59
DP 1835640345.422535 3423.73
DP 1835640345.427553 6549.80
DP 1835640345.432571 8570.30
DP 1835640345.437371 6206.69
DP 1835640345.442389 6282.94
DP 1835640345.447189 7312.25
DP 1835640345.452643 4719.90
DP 1835640345.457443 8684.67
DP 1835640345.462679 4491.17
DP 1835640345.467479 5215.50
DP 1835640345.472497 5367.99
DP 1835640345.477515 4681.78
DP 1835640345.482751 3957.45
DP 1835640345.487769 4414.92
DP 1835640345.492350 3995.57
DP 1835640345.497150 3004.38
DP 1835640345.502604 4300.55
DP 1835640345.507404 3233.12
DP 1835640345.512422 5406.11
DP 1835640345.517658 3156.87
DP 1835640345.522676 5253.62
DP 1835640345.527694 5406.11
DP 1835640345.532494 5367.99
DP 1835640345.537512 7388.50
DP 1835640345.542530 5901.71
DP 1835640345.547547 1936.94
DP 1835640345.552347 5406.11
DP 1835640345.557147 3347.48
DP 1835640345.562383 3538.10
DP 1835640345.567401 6244.82
DP 1835640345.572201 6931.03
DP 1835640345.576782 9447.13
DP 1835640345.582455 7579.11
DP 1835640345.587255 7998.46
DP 1835640345.592273 12458.83
DP 1835640345.597291 14403.09
DP 1835640345.602308 18558.47
DP 1835640345.607545 15279.91
DP 1835640345.612344 16690.46
DP 1835640345.617580 22599.49
DP 1835640345.622380 18749.09
DP 1835640345.627398 16995.44
DP 1835640345.632416 14021.86
DP 1835640345.637652 19778.40
DP 1835640345.642234 19702.15
DP 1835640345.647688 32663.90
DP 1835640345.652270 28127.29
DP 1835640345.657288 19549.66
DP 1835640345.662524 19320.93
DP 1835640345.667542 28279.78
DP 1835640345.672560 20426.49
DP 1835640345.677578 18215.37
DP 1835640345.682814 17147.93
DP 1835640345.687613 14479.33
DP 1835640345.692631 18520.35
DP 1835640345.697867 16423.60
DP 1835640345.702449 15508.65
DP 1835640345.707685 12649.44
DP 1835640345.712485 12649.44
DP 1835640345.717721 12840.06
DP 1835640345.722521 8799.04
DP 1835640345.727539 10438.32
DP 1835640345.732338 4872.40
DP 1835640345.737575 5901.71
DP 1835640345.742374 6626.04
DP 1835640345.747610 10095.22
DP 1835640345.752410 4986.76
DP 1835640345.757646 4567.41
DP 1835640345.762882 7617.24
DP 1835640345.767682 5291.75
DP 1835640345.772700 5825.46
DP 1835640345.777718 4414.92
DP 1835640345.782518 3919.33
DP 1835640345.787754 2890.01
DP 1835640345.792772 6587.92
DP 1835640345.797572 5711.10
DP 1835640345.802590 4338.68
DP 1835640345.807608 3499.98
DP 1835640345.812844 2928.13
DP 1835640345.817425 7007.27
DP 1835640345.822225 4148.06
DP 1835640345.827679 3080.63
DP 1835640345.832479 2966.26
DP 1835640345.837715 5215.50
DP 1835640345.842297 3004.38
DP 1835640345.847533 2241.92
DP 1835640345.852333 4338.68
DP 1835640345.857351 4453.04
DP 1835640345.862150 2165.68
DP 1835640345.867386 1746.33
DP 1835640345.872295 1174.49
DP 1835640345.877422 2737.52
DP 1835640345.882440 1708.21
DP 1835640345.887676 3499.98
DP 1835640345.892694 1326.98
DP 1835640345.897494 3843.08
DP 1835640345.902512 1670.08
DP 1835640345.907530 3080.63
DP 1835640345.912330 1022.00
DP 1835640345.917566 1936.94
DP 1835640345.922584 335.79
DP 1835640345.927383 1326.98
DP 1835640345.932401 2127.56
DP 1835640345.937638 1670.08
DP 1835640345.942655 1708.21
DP 1835640345.947237 450.15
DP 1835640345.952255 717.01
DP 1835640345.957491 2051.31
DP 1835640345.962509 640.77
DP 1835640345.967091 373.91
DP 1835640345.972545 831.38
DP 1835640345.977563 1365.10
DP 1835640345.982363 831.38
DP 1835640345.987599 0.00
DP 1835640345.992180 0.00
DP 1835640345.997635 450.15
