IP LINLIN
DP 100.0 0.000674286
DP 100.5 0.000671346
DP 101.0 0.000668434
DP 101.5 0.000665549
DP 102.0 0.000662690
DP 102.5 0.000659857
DP 103.0 0.000657050
DP 103.5 0.000654269
DP 104.0 0.000651513
DP 104.5 0.000648781
DP 105.0 0.000646074
DP 105.5 0.000643391
DP 106.0 0.000640732
DP 106.5 0.000638096
DP 107.0 0.000635483
DP 107.5 0.000632893
DP 108.0 0.000630326
DP 108.5 0.000627780
DP 109.0 0.000625257
DP 109.5 0.000622755
DP 110.0 0.000620275
DP 110.5 0.000617815
DP 111.0 0.000615377
DP 111.5 0.000612959
DP 112.0 0.000610561
DP 112.5 0.000608183
DP 113.0 0.000605825
DP 113.5 0.000603487
DP 114.0 0.000601168
DP 114.5 0.000598867
DP 115.0 0.000596586
DP 115.5 0.000594323
DP 116.0 0.000592078
DP 116.5 0.000589851
DP 117.0 0.000587643
DP 117.5 0.000585452
DP 118.0 0.000583278
DP 118.5 0.000581121
DP 119.0 0.000578982
DP 119.5 0.000576859
DP 120.0 0.000574753
DP 120.5 0.000572663
DP 121.0 0.000570590
DP 121.5 0.000568533
DP 122.0 0.000566491
DP 122.5 0.000564465
DP 123.0 0.000562454
DP 123.5 0.000560459
DP 124.0 0.000558479
DP 124.5 0.000556514
DP 125.0 0.000554563
DP 125.5 0.000552627
DP 126.0 0.000550706
DP 126.5 0.000548798
DP 127.0 0.000546905
DP 127.5 0.000545026
DP 128.0 0.000543161
DP 128.5 0.000541309
DP 129.0 0.000539470
DP 129.5 0.000537645
DP 130.0 0.000535833
DP 130.5 0.000534035
DP 131.0 0.000532249
DP 131.5 0.000530475
DP 132.0 0.000528715
DP 132.5 0.000526967
DP 133.0 0.000525231
DP 133.5 0.000523507
DP 134.0 0.000521796
DP 134.5 0.000520096
DP 135.0 0.000518408
DP 135.5 0.000516732
DP 136.0 0.000515067
DP 136.5 0.000513414
DP 137.0 0.000511772
DP 137.5 0.000510142
DP 138.0 0.000508522
DP 138.5 0.000506914
DP 139.0 0.000505316
DP 139.5 0.000503729
DP 140.0 0.000502153
DP 140.5 0.000500587
DP 141.0 0.000499032
DP 141.5 0.000497487
DP 142.0 0.000495952
DP 142.5 0.000494427
DP 143.0 0.000492912
DP 143.5 0.000491408
DP 144.0 0.000489913
DP 144.5 0.000488427
DP 145.0 0.000486952
DP 145.5 0.000485485
DP 146.0 0.000484029
DP 146.5 0.000482581
DP 147.0 0.000481143
DP 147.5 0.000479714
DP 148.0 0.000478294
DP 148.5 0.000476883
DP 149.0 0.000475481
DP 149.5 0.000474087
DP 150.0 0.000472703
DP 150.5 0.000471327
DP 151.0 0.000469959
DP 151.5 0.000468600
DP 152.0 0.000467250
DP 152.5 0.000465908
DP 153.0 0.000464574
DP 153.5 0.000463248
DP 154.0 0.000461930
DP 154.5 0.000460620
DP 155.0 0.000459318
DP 155.5 0.000458024
DP 156.0 0.000456738
DP 156.5 0.000455459
DP 157.0 0.000454188
DP 157.5 0.000452925
DP 158.0 0.000451669
DP 158.5 0.000450421
DP 159.0 0.000449180
DP 159.5 0.000447946
DP 160.0 0.000446720
DP 160.5 0.000445500
DP 161.0 0.000444288
DP 161.5 0.000443083
DP 162.0 0.000441885
DP 162.5 0.000440693
DP 163.0 0.000439509
DP 163.5 0.000438331
DP 164.0 0.000437161
DP 164.5 0.000435996
DP 165.0 0.000434839
DP 165.5 0.000433688
DP 166.0 0.000432543
DP 166.5 0.000431405
DP 167.0 0.000430273
DP 167.5 0.000429148
DP 168.0 0.000428029
DP 168.5 0.000426916
DP 169.0 0.000425810
DP 169.5 0.000424709
DP 170.0 0.000423615
DP 170.5 0.000422526
DP 171.0 0.000421444
DP 171.5 0.000420367
DP 172.0 0.000419296
DP 172.5 0.000418232
DP 173.0 0.000417173
DP 173.5 0.000416119
DP 174.0 0.000415072
DP 174.5 0.000414030
DP 175.0 0.000412993
DP 175.5 0.000411962
DP 176.0 0.000410937
DP 176.5 0.000409917
DP 177.0 0.000408902
DP 177.5 0.000407893
DP 178.0 0.000406889
DP 178.5 0.000405891
DP 179.0 0.000404897
DP 179.5 0.000403909
DP 180.0 0.000402926
DP 180.5 0.000401948
DP 181.0 0.000400975
DP 181.5 0.000400008
DP 182.0 0.000399045
DP 182.5 0.000398087
DP 183.0 0.000397134
DP 183.5 0.000396186
DP 184.0 0.000395243
DP 184.5 0.000394304
DP 185.0 0.000393370
DP 185.5 0.000392441
DP 186.0 0.000391517
DP 186.5 0.000390598
DP 187.0 0.000389683
DP 187.5 0.000388772
DP 188.0 0.000387866
DP 188.5 0.000386965
DP 189.0 0.000386068
DP 189.5 0.000385175
DP 190.0 0.000384287
DP 190.5 0.000383404
DP 191.0 0.000382524
DP 191.5 0.000381649
DP 192.0 0.000380778
DP 192.5 0.000379912
DP 193.0 0.000379050
DP 193.5 0.000378191
DP 194.0 0.000377337
DP 194.5 0.000376488
DP 195.0 0.000375642
DP 195.5 0.000374800
DP 196.0 0.000373962
DP 196.5 0.000373129
DP 197.0 0.000372299
DP 197.5 0.000371473
DP 198.0 0.000370651
DP 198.5 0.000369833
DP 199.0 0.000369019
DP 199.5 0.000368209
DP 200.0 0.000367402
DP 200.5 0.000366600
DP 201.0 0.000365801
DP 201.5 0.000365005
DP 202.0 0.000364214
DP 202.5 0.000363426
DP 203.0 0.000362642
DP 203.5 0.000361861
DP 204.0 0.000361084
DP 204.5 0.000360310
DP 205.0 0.000359540
DP 205.5 0.000358774
DP 206.0 0.000358011
DP 206.5 0.000357252
DP 207.0 0.000356496
DP 207.5 0.000355743
