# AlbedoPhotons spectrum 
# Format: DP <energy in keV> <shape of differential spectrum [XX/keV]>
# Although cosima doesn't use it the spectrum here is given as a flux in #/cm^2/s/keV
# Integrated over 3.958990876756658 sr
# Integral Flux: 0.864401007533956 #/cm^2/s
IP LOGLOG
DP 100.0 1.5222814531340694e-06
DP 120.45035402587824 1.0076581923285652e-06
DP 145.082877849594 6.742356341810354e-07
DP 174.7528400007683 4.6268018907644595e-07
DP 210.49041445120199 3.272562337263478e-07
DP 253.53644939701115 2.3781692446561876e-07
DP 305.3855508833416 1.764019094501639e-07
DP 367.8379771828634 1.327060638522549e-07
DP 443.0621457583882 1.0075400466743955e-07
DP 533.6699231206312 7.693832872105649e-08
DP 642.807311728432 5.896242440663996e-08
DP 774.263682681127 4.528550025671219e-08
DP 932.60334688322 3.4827578109297046e-08
DP 1123.3240329780276 2.6806533085700494e-08
DP 1353.0477745798075 2.064300909986257e-08
DP 1629.7508346206434 1.5901432140807217e-08
DP 1963.0406500402723 1.228921542273523e-08
DP 2364.4894126454074 9.577261130985915e-09
DP 2848.035868435802 7.463774343267097e-09
DP 3430.4692863149194 5.816686700436392e-09
DP 4132.012400115339 4.533074368942351e-09
DP 4977.023564332114 3.5327264975128265e-09
DP 5994.8425031894085 2.753132971242452e-09
DP 7220.809018385471 2.1455782559670826e-09
DP 8697.490026177835 1.6720972435999921e-09
DP 10476.157527896663 1.3031028741454489e-09
DP 12618.56883066021 1.0155372883398856e-09
DP 15199.11082952933 7.914309794497589e-10
DP 18307.382802953696 6.167799079605712e-10
DP 22051.307399030455 4.503880690914896e-10
DP 26560.87782946684 3.1043502566746934e-10
DP 31992.671377973846 2.139708215529703e-10
DP 38535.28593710536 1.4748178746136487e-10
DP 46415.88833612782 1.0165347534273349e-10
DP 55908.10182512223 7.006579745965397e-11
DP 67341.50657750828 4.829363636713239e-11
DP 81113.08307896872 3.328693025871602e-11
DP 97700.99572992246 2.2943389841787057e-11
DP 117681.19524349991 1.58139886538315e-11
DP 141747.41629268078 1.0899968961344747e-11
DP 170735.26474706922 7.512925800000096e-12
DP 205651.23083486516 5.064212070545007e-12
DP 247707.6355991714 3.0078020969947896e-12
DP 298364.724028334 1.7864325839167866e-12
DP 359381.36638046254 1.0610210625453716e-12
DP 432876.12810830615 6.301753031713293e-13
DP 521400.8287999695 3.742818373222401e-13
DP 628029.1441834259 2.2229829230744437e-13
DP 756463.3275546291 1.320302665936219e-13
DP 911162.7561154906 7.841711744988967e-14
DP 1097498.7654930567 4.6574504981321346e-14
DP 1321941.1484660313 2.766213021845993e-14
DP 1592282.793341094 1.642944886971784e-14
DP 1917910.2616724886 9.757990004057645e-15
DP 2310129.7000831626 5.79559117742479e-15
DP 2782559.402207126 3.4421922016600797e-15
DP 3351602.6509388476 2.044431152998311e-15
DP 4037017.258596558 1.2142548976010886e-15
DP 4862601.580065354 7.211859172591316e-16
DP 5857020.818056673 4.283360341230102e-16
DP 7054802.310718645 2.544028574843978e-16
DP 8497534.359086456 1.5109822368491139e-16
DP 10235310.218990268 8.974220426016962e-17
DP 12328467.394420683 5.330084648955538e-17
DP 14849682.622544665 3.165712565145983e-17
DP 17886495.29057435 1.880220804201858e-17
DP 21544346.900318865 1.1167249710146818e-17
DP 25950242.113997374 6.632596863628066e-18
DP 31257158.496882416 3.939317405559322e-18
DP 37649358.067924716 2.3396901607033835e-18
DP 45348785.081285916 1.3896189325508155e-18
DP 54622772.17684348 8.253403848666651e-19
DP 65793322.465756826 4.9019679779509945e-19
DP 79248289.83539185 2.911439994631891e-19
DP 95454845.66618347 1.7291999622333973e-19
DP 114975699.53977403 1.0270287263007832e-19
DP 138488637.13938746 6.099861367592708e-20
DP 166810053.72000557 3.6229082742280475e-20
DP 200923300.2565054 2.1517643717613973e-20
DP 242012826.47943833 1.2780036261250321e-20
DP 291505306.28251815 7.590483836535166e-21
DP 351119173.42151415 4.5082379810919905e-21
DP 422924287.4389499 2.677590800777994e-21
DP 509413801.48163855 1.5903092353332814e-21
DP 613590727.3413188 9.445369558528067e-22
DP 739072203.3525776 5.609915613580206e-22
DP 890215085.4450393 3.331913377923455e-22
DP 1072267222.0103253 1.978932932807575e-22
DP 1291549665.0148828 1.1753533505697284e-22
DP 1555676143.9304786 6.980810091100669e-23
DP 1873817422.8603868 4.146132693150731e-23
DP 2257019719.633917 2.462524561601833e-23
DP 2718588242.732951 1.4625743229370662e-23
DP 3274549162.877732 8.686709905233997e-24
DP 3944206059.437664 5.1593226952157125e-24
DP 4750810162.102813 3.0642914249190514e-24
DP 5722367659.35022 1.8199834535528987e-24
DP 6892612104.3497095 1.0809480274200085e-24
DP 8302175681.319769 6.420105829545922e-25
DP 10000000000.0 3.8131119921600613e-25
EN
