# CosmicPhotons spectrum 
# Format: DP <energy in keV> <shape of differential spectrum [XX/keV]>
# Although cosima doesn't use it the spectrum here is given as a flux in #/cm^2/s/keV
# Integrated over 8.607379737602514 sr
# Integral Flux: 1.2235089686672167 #/cm^2/s
IP LOGLOG
DP 100.0 2.419890455590907e-06
DP 120.45035402587824 1.4624617993732711e-06
DP 145.082877849594 8.776270507717031e-07
DP 174.7528400007683 5.237058827386809e-07
DP 210.49041445120199 3.111220380612536e-07
DP 253.53644939701115 1.8418730687464694e-07
DP 305.3855508833416 1.0874548042535852e-07
DP 367.8379771828634 6.406965105809818e-08
DP 443.0621457583882 3.768708822843325e-08
DP 533.6699231206312 2.2140882545017088e-08
DP 642.807311728432 1.2995276993734235e-08
DP 774.263682681127 7.62187101620961e-09
DP 932.60334688322 4.6474155467704556e-09
DP 1123.3240329780276 3.1151153493107373e-09
DP 1353.0477745798075 2.0562458295903686e-09
DP 1629.7508346206434 1.335364591416621e-09
DP 1963.0406500402723 8.672106246636687e-10
DP 2364.4894126454074 5.631825859684743e-10
DP 2848.035868435802 3.6574105850042917e-10
DP 3430.4692863149194 2.3751883988324633e-10
DP 4132.012400115339 1.5424895265031963e-10
DP 4977.023564332114 1.0017195760411894e-10
DP 5994.8425031894085 6.505337444880011e-11
DP 7220.809018385471 4.224673722228058e-11
DP 8697.490026177835 2.7435705176091388e-11
DP 10476.157527896663 1.7817165378143638e-11
DP 12618.56883066021 1.1570723850560206e-11
DP 15199.11082952933 7.514182943365904e-12
DP 18307.382802953696 4.8798017510182525e-12
DP 22051.307399030455 3.168995359341895e-12
DP 26560.87782946684 2.0579737744986043e-12
DP 31992.671377973846 1.3364620571614108e-12
DP 38535.28593710536 8.679040233705096e-13
DP 46415.88833612782 5.636177827812187e-13
DP 55908.10182512223 3.660118648648151e-13
DP 67341.50657750828 2.376854620897422e-13
DP 81113.08307896872 1.5434992922440283e-13
DP 97700.99572992246 1.0023187769026458e-13
DP 117681.19524349991 6.508786369178361e-14
DP 141747.41629268078 4.22656748981402e-14
DP 170735.26474706922 2.7445297191335253e-14
DP 205651.23083486516 1.7821277790336962e-14
DP 247707.6355991714 1.1571738928371967e-14
DP 298364.724028334 7.513547322207081e-15
DP 359381.36638046254 4.8783763252389855e-15
DP 432876.12810830615 3.167277744693823e-15
DP 521400.8287999695 2.056239052793722e-15
DP 628029.1441834259 1.3348512633949615e-15
DP 756463.3275546291 8.664793306355177e-16
DP 911162.7561154906 5.623965566793995e-16
DP 1097498.7654930567 3.6498738380995783e-16
DP 1321941.1484660313 2.3683928204041984e-16
DP 1592282.793341094 1.5365905983268964e-16
DP 1917910.2616724886 9.967277480756316e-17
DP 2310129.7000831626 6.463849979020455e-17
DP 2782559.402207126 4.190647501616578e-17
DP 3351602.6509388476 2.7159427117594402e-17
DP 4037017.258596558 1.7594581187551565e-17
DP 4862601.580065354 1.1392500922480933e-17
DP 5857020.818056673 7.372187987020645e-18
DP 7054802.310718645 4.767131956774007e-18
DP 8497534.359086456 3.0799002672070986e-18
DP 10235310.218990268 1.987727585711111e-18
DP 12328467.394420683 1.2812205204478907e-18
DP 14849682.622544665 8.245644121445647e-19
DP 17886495.29057435 5.296911334283755e-19
DP 21544346.900318865 3.3951119840947065e-19
DP 25950242.113997374 2.170306599159564e-19
DP 31257158.496882416 1.3828833216311018e-19
DP 37649358.067924716 8.77729354243867e-20
DP 45348785.081285916 5.544991212926455e-20
DP 54622772.17684348 3.483293938482036e-20
DP 65793322.465756826 2.1733375047851722e-20
DP 79248289.83539185 1.3449566180600962e-20
DP 95454845.66618347 8.241499279110857e-21
DP 114975699.53977403 4.99051195995242e-21
DP 138488637.13938746 2.9789955526555654e-21
DP 166810053.72000557 1.7478722102374276e-21
DP 200923300.2565054 1.0044628375231368e-21
DP 242012826.47943833 5.629874525872424e-22
DP 291505306.28251815 3.0618465927147894e-22
DP 351119173.42151415 1.605879950464921e-22
DP 422924287.4389499 8.062425132356261e-23
DP 509413801.48163855 3.840258104689725e-23
DP 613590727.3413188 1.7168118937985188e-23
DP 739072203.3525776 7.110859770311193e-24
DP 890215085.4450393 2.6864371645096217e-24
DP 1072267222.0103253 9.084846059129636e-25
DP 1291549665.0148828 2.6884709751157057e-25
DP 1555676143.9304786 6.77467413076535e-26
DP 1873817422.8603868 1.406667435088868e-26
DP 2257019719.633917 2.3132350170775935e-27
EN
