# PrimaryAlphas spectrum 
# Format: DP <energy in keV> <shape of differential spectrum [XX/keV]>
# Although cosima doesn't use it the spectrum here is given as a flux in #/cm^2/s/keV
# Integrated over 8.607379737602514 sr
# Integral Flux: 0.01763315707012404 #/cm^2/s
IP LOGLOG
DP 100.0 4.26317801893245e-45
DP 123.28467394420659 1.318240551102525e-44
DP 151.99110829529332 4.076221245709935e-44
DP 187.3817422860383 1.2604428230531429e-43
DP 231.01297000831605 3.89754745603468e-43
DP 284.8035868435802 1.2052113153765348e-42
DP 351.1191734215131 3.7268278896820574e-42
DP 432.8761281083057 1.152446659015995e-41
DP 533.6699231206312 3.563764008197224e-41
DP 657.9332246575682 1.102059868583136e-40
DP 811.1308307896873 3.408093343900554e-40
DP 1000.0 1.0539746246552617e-39
DP 1232.8467394420659 3.259598367049549e-39
DP 1519.9110829529332 1.0081307075721591e-38
DP 1873.817422860383 3.118119750627731e-38
DP 2310.1297000831605 9.644891125078171e-38
DP 2848.035868435802 2.9835760705471985e-37
DP 3511.191734215131 9.230396311717439e-37
DP 4328.7612810830615 2.8559929751191867e-36
DP 5336.699231206313 8.838120754662978e-36
DP 6579.332246575683 2.7355463926276575e-35
DP 8111.308307896872 8.468929263922621e-35
DP 10000.0 2.622626771179229e-34
DP 12328.467394420659 8.12450166957111e-34
DP 15199.11082952933 2.5179353043719e-33
DP 18738.174228603868 7.807706812935286e-33
DP 23101.29700083158 2.4226298267315963e-32
DP 28480.35868435805 7.523174255826546e-32
DP 35111.917342151275 2.338550055189669e-31
DP 43287.612810830615 7.2781873632478585e-31
DP 53366.99231206313 2.2685743501946518e-30
DP 65793.32246575682 7.084120825805589e-30
DP 81113.08307896872 2.21720469317426e-29
DP 100000.0 6.958847804298311e-29
DP 123284.67394420659 2.1915695817131717e-28
DP 151991.10829529332 6.930975746656915e-28
DP 187381.74228603867 2.2032397929664968e-27
DP 231012.9700083158 7.047755022269753e-27
DP 284803.5868435805 2.271731963335699e-26
DP 351119.17342151277 7.390881085886177e-26
DP 432876.12810830615 2.431771916161962e-25
DP 533669.9231206313 8.110551494146827e-25
DP 657933.2246575683 2.749602923567767e-24
DP 811130.8307896872 9.505316750480738e-24
DP 1000000.0 3.363020788709609e-23
DP 1232846.7394420658 1.2227951068872946e-22
DP 1519911.0829529332 4.590148123576447e-22
DP 1873817.422860383 1.7877134029653125e-21
DP 2310129.700083158 7.185273103702161e-21
DP 2848035.8684358047 2.958093839900319e-20
DP 3511191.7342151348 1.2533130254587826e-19
DP 4328761.281083061 5.403302101077893e-19
DP 5336699.231206313 2.3928535440060157e-18
DP 6579332.246575682 1.0921287656863145e-17
DP 8111308.307896872 5.165998543105685e-17
DP 10000000.0 2.525950140089816e-16
DP 12328467.39442066 1.2839629499344044e-15
DP 15199110.829529332 6.654414232797051e-15
DP 18738174.22860383 3.0758704841377205e-14
DP 23101297.000831626 7.273906898383002e-14
DP 28480358.68435805 6.572196707022994e-14
DP 35111917.342151344 4.2404328504708295e-14
DP 43287612.810830615 2.5679651406859768e-14
DP 53366992.31206313 1.5342622185253475e-14
DP 65793322.465756826 9.034944568311386e-15
DP 81113083.07896872 5.259489186816583e-15
DP 100000000.0 3.0349997101459537e-15
DP 123284673.94420634 1.7452935623353787e-15
DP 151991108.2952933 1.0007050292202228e-15
DP 187381742.2860387 5.70845284535651e-16
DP 231012970.0083158 3.2102598183624656e-16
DP 284803586.8435805 1.8285918503292318e-16
DP 351119173.42151415 1.0336044025975311e-16
DP 432876128.10830617 5.861617767369826e-17
DP 533669923.12063015 3.35184083325366e-17
DP 657933224.6575682 1.9242883887416172e-17
DP 811130830.789689 1.0890235354903678e-17
DP 1000000000.0 6.289675123563891e-18
DP 1232846739.4420633 3.674355059348104e-18
DP 1519911082.952933 2.0786709360727732e-18
DP 1873817422.8603868 1.22292285770871e-18
DP 2310129700.083158 7.000960555320312e-19
DP 2848035868.435805 3.992187836816001e-19
DP 3511191734.215142 2.275052470505336e-19
DP 4328761281.083061 1.2964972549261726e-19
DP 5336699231.206302 7.38842358065585e-20
DP 6579332246.575683 4.2104835008153826e-20
DP 8111308307.896889 2.399452483619636e-20
DP 10000000000.0 1.3673898069030703e-20
DP 12328467394.420685 7.792423049786006e-21
DP 15199110829.529331 4.440713005193641e-21
DP 18738174228.603867 2.530654697326434e-21
DP 23101297000.83158 1.44215876811007e-21
DP 28480358684.358047 8.21851323546433e-22
DP 35111917342.151276 4.683531473446485e-22
DP 43287612810.83061 2.669031056384764e-22
DP 53366992312.06302 1.5210161008492802e-22
DP 65793322465.75682 8.667902059470115e-23
DP 81113083078.96889 4.939627270915475e-23
DP 100000000000.0 2.8149738435166144e-23
EN
