# PrimaryElectrons spectrum 
# Format: DP <energy in keV> <shape of differential spectrum [XX/keV]>
# Although cosima doesn't use it the spectrum here is given as a flux in #/cm^2/s/keV
# Integrated over 8.607379737602514 sr
# Integral Flux: 0.0006419376852490416 #/cm^2/s
IP LOGLOG
DP 100.0 4.704909914420103e-40
DP 123.28467394420659 9.443844789359907e-40
DP 151.99110829529332 1.9197234428321353e-39
DP 187.3817422860383 3.960684247753024e-39
DP 231.01297000831605 8.313472196372717e-39
DP 284.8035868435802 1.7798461145638257e-38
DP 351.1191734215131 3.8968343745704313e-38
DP 432.8761281083057 8.74784459258128e-38
DP 533.6699231206312 2.018418058064426e-37
DP 657.9332246575682 4.797009375807267e-37
DP 811.1308307896873 1.1762798196084569e-36
DP 1000.0 2.9792672790244513e-36
DP 1232.8467394420659 7.797454522388273e-36
DP 1519.9110829529332 2.108232873873015e-35
DP 1873.817422860383 5.882836781980012e-35
DP 2310.1297000831605 1.6915105607600058e-34
DP 2848.035868435802 5.001378736722307e-34
DP 3511.191734215131 1.5170251800448761e-33
DP 4328.7612810830615 4.708287825101034e-33
DP 5336.699231206313 1.4912720500283735e-32
DP 6579.332246575683 4.807916617497594e-32
DP 8111.308307896872 1.5740114489088383e-31
DP 10000.0 5.220841451696475e-31
DP 12328.467394420659 1.7509931528689724e-30
DP 15199.11082952933 5.9275136562839516e-30
DP 18738.174228603868 2.022268648254076e-29
DP 23101.29700083158 6.944041117925012e-29
DP 28480.35868435805 2.397222032854828e-28
DP 35111.917342151275 8.312256505507111e-28
DP 43287.612810830615 2.8927001186845356e-27
DP 53366.99231206313 1.009667408618136e-26
DP 65793.32246575682 3.5327203362087234e-26
DP 81113.08307896872 1.2385196642100399e-25
DP 100000.0 4.3491105071505e-25
DP 123284.67394420659 1.5292259064082235e-24
DP 151991.10829529332 5.3828214245017606e-24
DP 187381.74228603867 1.896393188863316e-23
DP 231012.9700083158 6.685838641279874e-23
DP 284803.5868435805 2.358493193516063e-22
DP 351119.17342151277 8.323720500564857e-22
DP 432876.12810830615 2.9387737271080808e-21
DP 533669.9231206313 1.0378854905533793e-20
DP 657933.2246575683 3.6664184688896195e-20
DP 811130.8307896872 1.2661088532484798e-19
DP 1000000.0 4.232739942145348e-19
DP 1232846.7394420658 1.3454764888620457e-18
DP 1519911.0829529332 4.007292030846317e-18
DP 1873817.422860383 1.1344720905353439e-17
DP 2310129.700083158 2.9569103956971365e-17
DP 2848035.8684358047 7.235115211680577e-17
DP 3511191.7342151348 1.67818084627368e-16
DP 4328761.281083061 3.6875444931659813e-16
DP 5336699.231206313 7.69345323431599e-16
DP 6579332.246575682 1.5123732079883883e-15
DP 8111308.307896872 2.766248374691015e-15
DP 10000000.0 4.402596784933547e-15
DP 12328467.39442066 5.32272661917575e-15
DP 15199110.829529332 4.3771550565591706e-15
DP 18738174.22860383 2.665979850499975e-15
DP 23101297.000831626 1.4176468045313169e-15
DP 28480358.68435805 7.259614645490302e-16
DP 35111917.342151344 3.6800766722644884e-16
DP 43287612.810830615 1.8796592765880608e-16
DP 53366992.31206313 9.630485551691424e-17
DP 65793322.465756826 4.983108577724573e-17
DP 81113083.07896872 2.5685292940956906e-17
DP 100000000.0 1.3287731482068706e-17
DP 123284673.94420634 6.823770864440177e-18
DP 151991108.2952933 3.497847639314832e-18
DP 187381742.2860387 1.7230807628552864e-18
DP 231012970.0083158 8.72945565212638e-19
DP 284803586.8435805 4.591886328962663e-19
DP 351119173.42151415 2.413784703804062e-19
DP 432876128.10830617 1.2176112727744382e-19
DP 533669923.12063015 6.217564093465858e-20
DP 657933224.6575682 3.328177327762689e-20
DP 811130830.789689 1.8574774298513733e-20
DP 1000000000.0 1.0366702439619144e-20
DP 1232846739.4420633 5.7857241086063865e-21
DP 1519911082.952933 3.2290502843901337e-21
DP 1873817422.8603868 1.8021539816604624e-21
DP 2310129700.083158 1.005793867414973e-21
DP 2848035868.435805 5.613401041332883e-22
DP 3511191734.215142 3.132875658888471e-22
DP 4328761281.083061 1.7484782971653626e-22
DP 5336699231.206302 9.7583711852227e-23
DP 6579332246.575683 5.446210475872844e-23
DP 8111308307.896889 3.03956551605904e-23
DP 10000000000.0 1.696401299094985e-23
DP 12328467394.420685 9.467726069291309e-24
DP 15199110829.529331 5.2839995448577354e-24
DP 18738174228.603867 2.949034539625865e-24
DP 23101297000.83158 1.6458753718800007e-24
DP 28480358684.358047 9.18573758076349e-25
DP 35111917342.151276 5.126619933942603e-25
DP 43287612810.83061 2.8611999543876295e-25
DP 53366992312.06302 1.5968543181417673e-25
DP 65793322465.75682 8.912147889061881e-26
DP 81113083078.96889 4.973927746204047e-26
DP 100000000000.0 2.7759814505347786e-26
EN
