# PrimaryPositrons spectrum 
# Format: DP <energy in keV> <shape of differential spectrum [XX/keV]>
# Although cosima doesn't use it the spectrum here is given as a flux in #/cm^2/s/keV
# Integrated over 8.607379737602514 sr
# Integral Flux: 6.525793893107162e-05 #/cm^2/s
IP LOGLOG
DP 100.0 6.546033252995993e-40
DP 120.45035402587824 1.1942655102657756e-39
DP 145.082877849594 2.200306681610639e-39
DP 174.7528400007683 4.099970852199805e-39
DP 210.49041445120199 7.739399479411254e-39
DP 253.53644939701115 1.482601644345473e-38
DP 305.3855508833416 2.8875290290804323e-38
DP 367.8379771828634 5.728182804685417e-38
DP 443.0621457583882 1.1595293110069158e-37
DP 533.6699231206312 2.399137834971521e-37
DP 642.807311728432 5.081407238353682e-37
DP 774.263682681127 1.1030408342171421e-36
DP 932.60334688322 2.4561024632840858e-36
DP 1123.3240329780276 5.612269330997314e-36
DP 1353.0477745798075 1.3160309551296254e-35
DP 1629.7508346206434 3.1654571691547193e-35
DP 1963.0406500402723 7.803299791341333e-35
DP 2364.4894126454074 1.969091755673389e-34
DP 2848.035868435802 5.078681784108961e-34
DP 3430.4692863149194 1.3365895847913943e-33
DP 4132.012400115339 3.582786235675891e-33
DP 4977.023564332114 9.763723398219223e-33
DP 5994.8425031894085 2.7001518849505293e-32
DP 7220.809018385471 7.564460598120313e-32
DP 8697.490026177835 2.1432455555934604e-31
DP 10476.157527896663 6.132188601862072e-31
DP 12618.56883066021 1.7693649868681797e-30
DP 15199.11082952933 5.1422241513698045e-30
DP 18307.382802953696 1.5036696505312324e-29
DP 22051.307399030455 4.4199491566521826e-29
DP 26560.87782946684 1.3049554606401185e-28
DP 31992.671377973846 3.867115486416575e-28
DP 38535.28593710536 1.1495686447822487e-27
DP 46415.88833612782 3.42626333999376e-27
DP 55908.10182512223 1.0234339509510274e-26
DP 67341.50657750828 3.06264158531927e-26
DP 81113.08307896872 9.179066766452135e-26
DP 97700.99572992246 2.754587974082569e-25
DP 117681.19524349991 8.275193221791845e-25
DP 141747.41629268078 2.488202435405913e-24
DP 170735.26474706922 7.487119228617884e-24
DP 205651.23083486516 2.2542980396117483e-23
DP 247707.6355991714 6.790949365048189e-23
DP 298364.724028334 2.0466083883155147e-22
DP 359381.36638046254 6.170109843610123e-22
DP 432876.12810830615 1.8607111102569694e-21
DP 521400.8287999695 5.612693139199762e-21
DP 628029.1441834259 1.6933703667185053e-20
DP 756463.3275546291 5.0101731074136346e-20
DP 911162.7561154906 1.3638430088314122e-19
DP 1097498.7654930567 3.578475017572343e-19
DP 1321941.1484660313 8.620033498953176e-19
DP 1592282.793341094 2.016895747897261e-18
DP 1917910.2616724886 4.459889324092316e-18
DP 2310129.7000831626 9.491882614756469e-18
DP 2782559.402207126 1.917949151902361e-17
DP 3351602.6509388476 3.731832934486832e-17
DP 4037017.258596558 7.139894626048344e-17
DP 4862601.580065354 1.3052549889782474e-16
DP 5857020.818056673 2.2995551807383844e-16
DP 7054802.310718645 3.8544224781530065e-16
DP 8497534.359086456 5.497105058301402e-16
DP 10235310.218990268 6.180017128577383e-16
DP 12328467.394420683 5.243654030845482e-16
DP 14849682.622544665 3.444020961136567e-16
DP 17886495.29057435 2.0643997726683844e-16
DP 21544346.900318865 1.219278301722365e-16
DP 25950242.113997374 7.071787998310152e-17
DP 31257158.496882416 4.138541804148991e-17
DP 37649358.067924716 2.4525972883451335e-17
DP 45348785.081285916 1.4419182925568704e-17
DP 54622772.17684348 8.595264945803506e-18
DP 65793322.465756826 5.395520971984872e-18
DP 79248289.83539185 3.1938774555824578e-18
DP 95454845.66618347 1.9514097100792356e-18
DP 114975699.53977403 1.1202558290568567e-18
DP 138488637.13938746 7.225146858526767e-19
DP 166810053.72000557 4.07419235902019e-19
DP 200923300.2565054 2.3742713148190706e-19
DP 242012826.47943833 1.3985423539770513e-19
DP 291505306.28251815 8.107935215462201e-20
DP 351119173.42151415 4.5186835975568606e-20
DP 422924287.4389499 2.55258264741174e-20
DP 509413801.48163855 1.3567123957685668e-20
DP 613590727.3413188 6.929060351958933e-21
DP 739072203.3525776 3.126583355802085e-21
DP 890215085.4450393 1.4108007412479633e-21
DP 1072267222.0103253 6.365922494299462e-22
DP 1291549665.0148828 2.8724800050462504e-22
DP 1555676143.9304786 1.2961422930889314e-22
DP 1873817422.8603868 5.848551916749335e-23
DP 2257019719.633917 2.6390281148370812e-23
DP 2718588242.732951 1.190802354161397e-23
DP 3274549162.877732 5.373229025882955e-24
DP 3944206059.437664 2.4245493018799663e-24
DP 4750810162.102813 1.0940235915741007e-24
DP 5722367659.35022 4.936536526572803e-25
DP 6892612104.3497095 2.227501588254048e-25
DP 8302175681.319769 1.0051102223118885e-25
DP 10000000000.0 4.5353348537349856e-26
EN
