# PrimaryProtons_HelMod spectrum 
# Format: DP <energy in keV> <shape of differential spectrum [XX/keV]>
# Although cosima doesn't use it the spectrum here is given as a flux in #/cm^2/s/keV
# Integrated over 8.607379737602514 sr
# Integral Flux: 0.14289661822239355 #/cm^2/s
IP LOGLOG
DP 100.0 7.016600202030805e-48
DP 120.45035402587824 2.5631639642553115e-47
DP 145.082877849594 9.3633628235023e-47
DP 174.7528400007683 3.4205371361263503e-46
DP 210.49041445120199 1.2495832390181375e-45
DP 253.53644939701115 4.5650571508302666e-45
DP 305.3855508833416 1.6677827100036e-44
DP 367.8379771828634 6.093228073410605e-44
DP 443.0621457583882 2.226245883055675e-43
DP 533.6699231206312 8.134299818406683e-43
DP 642.807311728432 2.9723020276013506e-42
DP 774.263682681127 1.086167166265538e-41
DP 932.60334688322 3.969517327617122e-41
DP 1123.3240329780276 1.45085380463668e-40
DP 1353.0477745798075 5.3035137367602235e-40
DP 1629.7508346206434 1.9389601517542433e-39
DP 1963.0406500402723 7.090102413235339e-39
DP 2364.4894126454074 2.5931675538496904e-38
DP 2848.035868435802 9.48685714890448e-38
DP 3430.4692863149194 3.4717707358167342e-37
DP 4132.012400115339 1.2709969324020601e-36
DP 4977.023564332114 4.6551781335879654e-36
DP 5994.8425031894085 1.7059519238455047e-35
DP 7220.809018385471 6.255822985805601e-35
DP 8697.490026177835 2.2958714635524597e-34
DP 10476.157527896663 8.433855061931436e-34
DP 12618.56883066021 3.101731139667557e-33
DP 15199.11082952933 1.1426717472128326e-32
DP 18307.382802953696 4.2214758045862106e-32
DP 22051.307399030455 1.56268940788013e-31
DP 26560.87782946684 5.77746110201354e-31
DP 31992.671377973846 2.139204149525111e-30
DP 38535.28593710536 7.917407109720257e-30
DP 46415.88833612782 2.9106132915689915e-29
DP 55908.10182512223 1.0752670037655e-28
DP 67341.50657750828 3.9795591503036384e-28
DP 81113.08307896872 1.4816519089523161e-27
DP 97700.99572992246 5.504713849858895e-27
DP 117681.19524349991 2.0299427130519682e-26
DP 141747.41629268078 7.572720762543047e-26
DP 170735.26474706922 2.7542039634245052e-25
DP 205651.23083486516 1.0176848797915412e-24
DP 247707.6355991714 3.709065090938234e-24
DP 298364.724028334 1.360202156225139e-23
DP 359381.36638046254 4.988561938475816e-23
DP 432876.12810830615 1.8249707742664457e-22
DP 521400.8287999695 6.780785887364665e-22
DP 628029.1441834259 2.5122959743019124e-21
DP 756463.3275546291 9.40964084700119e-21
DP 911162.7561154906 3.505355774347907e-20
DP 1097498.7654930567 1.3466595335594972e-19
DP 1321941.1484660313 5.243220867140714e-19
DP 1592282.793341094 2.0792027952147764e-18
DP 1917910.2616724886 8.441545299954755e-18
DP 2310129.7000831626 3.521780552520508e-17
DP 2782559.402207126 1.5024996162212283e-16
DP 3351602.6509388476 6.603940742594376e-16
DP 4037017.258596558 2.9745047044532433e-15
DP 4862601.580065354 1.3753330649271572e-14
DP 5857020.818056673 6.455391447199984e-14
DP 7054802.310718645 2.95536930282871e-13
DP 8497534.359086456 1.0432729041802201e-12
DP 10235310.218990268 1.6393040609425653e-12
DP 12328467.394420683 1.2712589952886014e-12
DP 14849682.622544665 8.126769955935053e-13
DP 17886495.29057435 5.004193991653208e-13
DP 21544346.900318865 3.0501300584138403e-13
DP 25950242.113997374 1.8444680067174705e-13
DP 31257158.496882416 1.1115602562240159e-13
DP 37649358.067924716 6.67989650208357e-14
DP 45348785.081285916 4.003071588026994e-14
DP 54622772.17684348 2.3852479356331127e-14
DP 65793322.465756826 1.4563231486086607e-14
DP 79248289.83539185 8.616574342762736e-15
DP 95454845.66618347 5.120867866472465e-15
DP 114975699.53977403 3.0338670734579314e-15
DP 138488637.13938746 1.7973394439736484e-15
DP 166810053.72000557 1.0653982188106828e-15
DP 200923300.2565054 6.323011451168046e-16
DP 242012826.47943833 3.760624004024337e-16
DP 291505306.28251815 2.2443720244142177e-16
DP 351119173.42151415 1.3452801943022384e-16
DP 422924287.4389499 8.110954869272609e-17
DP 509413801.48163855 4.919688138432194e-17
DP 613590727.3413188 2.999273077398279e-17
DP 739072203.3525776 1.835726896850808e-17
DP 890215085.4450393 1.1281121571416609e-17
DP 1072267222.0103253 6.942278464931326e-18
DP 1291549665.0148828 4.277917195917371e-18
DP 1555676143.9304786 2.6361050810004157e-18
DP 1873817422.8603868 1.6244003050615722e-18
DP 2257019719.633917 1.0009754050027277e-18
DP 2718588242.732951 6.168133300014196e-19
DP 3274549162.877732 3.800879443850183e-19
DP 3944206059.437664 2.3421485632694596e-19
DP 4750810162.102813 1.4432606909700812e-19
DP 5722367659.35022 8.893549515884474e-20
DP 6892612104.3497095 5.480314366375799e-20
DP 8302175681.319769 3.377036975019088e-20
DP 10000000000.0 2.0809716319591397e-20
EN
