# PrimaryProtons spectrum 
# Format: DP <energy in keV> <shape of differential spectrum [XX/keV]>
# Although cosima doesn't use it the spectrum here is given as a flux in #/cm^2/s/keV
# Integrated over 8.607379737602514 sr
# Integral Flux: 0.09118360260446622 #/cm^2/s
IP LOGLOG
DP 100.0 6.594813023907591e-47
DP 123.28467394420659 2.386464795200074e-46
DP 151.99110829529332 8.636049141034976e-46
DP 187.3817422860383 3.125247798031831e-45
DP 231.01297000831605 1.131006891980699e-44
DP 284.8035868435802 4.093173452406345e-44
DP 351.1191734215131 1.4814003156611769e-43
DP 432.8761281083057 5.361744941916347e-43
DP 533.6699231206312 1.940735235488047e-42
DP 657.9332246575682 7.025205003588021e-42
DP 811.1308307896873 2.5432664531114036e-41
DP 1000.0 9.208188767955518e-41
DP 1232.8467394420659 3.3343989936296037e-40
DP 1519.9110829529332 1.2076361508546577e-39
DP 1873.817422860383 4.374690259661594e-39
DP 2310.1297000831605 1.5851585634272656e-38
DP 2848.035868435802 5.745645617719807e-38
DP 3511.191734215131 2.0834272954450957e-37
DP 4328.7612810830615 7.55842787330592e-37
DP 5336.699231206313 2.7437700635556033e-36
DP 6579.332246575683 9.967539947418932e-36
DP 8111.308307896872 3.6243255834594865e-35
DP 10000.0 1.3193422141955865e-34
DP 12328.467394420659 4.809410614024393e-34
DP 15199.11082952933 1.7561807801346138e-33
DP 18738.174228603868 6.426281336558906e-33
DP 23101.29700083158 2.3576090020596086e-32
DP 28480.35868435805 8.676810104132228e-32
DP 35111.917342151275 3.205792878168126e-31
DP 43287.612810830615 1.1900799873273635e-30
DP 53366.99231206313 4.443663981639202e-30
DP 65793.32246575682 1.6710355030927167e-29
DP 81113.08307896872 6.338371318919809e-29
DP 100000.0 2.4295010383160184e-28
DP 123284.67394420659 9.430943150627595e-28
DP 151991.10829529332 3.717181459963826e-27
DP 187381.74228603867 1.4921181329590627e-26
DP 231012.9700083158 6.121177154379079e-26
DP 284803.5868435805 2.5764808117145535e-25
DP 351119.17342151277 1.1176262129542777e-24
DP 432876.12810830615 5.0203883556350324e-24
DP 533669.9231206313 2.3473258683078732e-23
DP 657933.2246575683 1.0852222897373182e-22
DP 811130.8307896872 4.991519001933333e-22
DP 1000000.0 2.3450489240182595e-21
DP 1232846.7394420658 1.1207235705210081e-20
DP 1519911.0829529332 5.713021277015789e-20
DP 1873817.422860383 2.872361646970304e-19
DP 2310129.700083158 1.5322813591709237e-18
DP 2848035.8684358047 8.512158763772916e-18
DP 3511191.7342151348 4.7188249972820744e-17
DP 4328761.281083061 2.7265509331912947e-16
DP 5336699.231206313 1.6213858122960586e-15
DP 6579332.246575682 9.502101034778897e-15
DP 8111308.307896872 5.740665011374592e-14
DP 10000000.0 2.9957752040374806e-13
DP 12328467.39442066 7.814922617531348e-13
DP 15199110.829529332 6.862778838664844e-13
DP 18738174.22860383 4.223581368454528e-13
DP 23101297.000831626 2.4482198008400274e-13
DP 28480358.68435805 1.3990011351295885e-13
DP 35111917.342151344 7.973956282637958e-14
DP 43287612.810830615 4.505175810225129e-14
DP 53366992.31206313 2.5236828864172678e-14
DP 65793322.465756826 1.4206187252940856e-14
DP 81113083.07896872 7.893044779515661e-15
DP 100000000.0 4.425951158548668e-15
DP 123284673.94420634 2.4687848826620634e-15
DP 151991108.2952933 1.3699471569829987e-15
DP 187381742.2860387 7.607513602469771e-16
DP 231012970.0083158 4.228772337582685e-16
DP 284803586.8435805 2.3653290063484626e-16
DP 351119173.42151415 1.3053779436181799e-16
DP 432876128.10830617 7.380844264259778e-17
DP 533669923.12063015 4.18966448376564e-17
DP 657933224.6575682 2.4102576838053734e-17
DP 811130830.789689 1.3722819299059076e-17
DP 1000000000.0 7.728453303641822e-18
DP 1232846739.4420633 4.3604174431542066e-18
DP 1519911082.952933 2.4601611126515783e-18
DP 1873817422.8603868 1.3880305679689505e-18
DP 2310129700.083158 7.831311728765997e-19
DP 2848035868.435805 4.41845048721427e-19
DP 3511191734.215142 2.492903536996646e-19
DP 4328761281.083061 1.406503945841108e-19
DP 5336699231.206302 7.935539102527546e-20
DP 6579332246.575683 4.477255896362547e-20
DP 8111308307.896889 2.5260817321319047e-20
DP 10000000000.0 1.425223186951355e-20
DP 12328467394.420685 8.041153644341756e-21
DP 15199110829.529331 4.536843950049922e-21
DP 18738174228.603867 2.55970149775559e-21
DP 23101297000.83158 1.4441915635075274e-21
DP 28480358684.358047 8.148173816107367e-22
DP 35111917342.151276 4.597225064537144e-22
DP 43287612810.83061 2.593768710754479e-22
DP 53366992312.06302 1.46341239126746e-22
DP 65793322465.75682 8.256618325433432e-23
DP 81113083078.96889 4.6584097947154665e-23
DP 100000000000.0 2.6282893262311682e-23
EN
