# SecondaryElectrons spectrum 
# Format: DP <energy in keV> <shape of differential spectrum [XX/keV]>
# Although cosima doesn't use it the spectrum here is given as a flux in #/cm^2/s/keV
# Integrated over 3.958990876756658 sr
# Integral Flux: 0.06460216831003572 #/cm^2/s
IP LOGLOG
DP 100.0 0.0
DP 120.45035402587824 0.0
DP 145.082877849594 0.0
DP 174.7528400007683 0.0
DP 210.49041445120199 0.0
DP 253.53644939701115 0.0
DP 305.3855508833416 0.0
DP 367.8379771828634 0.0
DP 443.0621457583882 0.0
DP 533.6699231206312 0.0
DP 642.807311728432 0.0
DP 774.263682681127 0.0
DP 932.60334688322 0.0
DP 1123.3240329780276 2.670645256335115e-09
DP 1353.0477745798075 2.2172166100577326e-09
DP 1629.7508346206434 1.8407721820239528e-09
DP 1963.0406500402723 1.5282414044449126e-09
DP 2364.4894126454074 1.2687728623168494e-09
DP 2848.035868435802 1.0533575202645393e-09
DP 3430.4692863149194 8.745159188475525e-10
DP 4132.012400115339 7.260384794383143e-10
DP 4977.023564332114 6.027699007695137e-10
DP 5994.8425031894085 5.004301611600178e-10
DP 7220.809018385471 4.1546591141816145e-10
DP 8697.490026177835 3.449270986193206e-10
DP 10476.157527896663 2.863645369985498e-10
DP 12618.56883066021 2.377448695061751e-10
DP 15199.11082952933 1.9737996739727045e-10
DP 18307.382802953696 1.6386831653053008e-10
DP 22051.307399030455 1.3604635524385745e-10
DP 26560.87782946684 1.1294807420377413e-10
DP 31992.671377973846 9.377147549064703e-11
DP 38535.28593710536 7.785072634199193e-11
DP 46415.88833612782 6.463304070095647e-11
DP 55908.10182512223 5.365948587172305e-11
DP 67341.50657750828 4.454904786763391e-11
DP 81113.08307896872 3.6985402183261976e-11
DP 97700.99572992246 3.0705930656970804e-11
DP 117681.19524349991 2.0968419621820422e-11
DP 141747.41629268078 1.3924766500838282e-11
DP 170735.26474706922 9.247197719235411e-12
DP 205651.23083486516 6.14090481542256e-12
DP 247707.6355991714 4.078069172635564e-12
DP 298364.724028334 2.7081755338453696e-12
DP 359381.36638046254 1.7984527509568243e-12
DP 432876.12810830615 1.1943215116604892e-12
DP 521400.8287999695 7.931283557247263e-13
DP 628029.1441834259 5.26702887382499e-13
DP 756463.3275546291 3.497743203539491e-13
DP 911162.7561154906 2.3227910480433723e-13
DP 1097498.7654930567 1.5425255483051754e-13
DP 1321941.1484660313 1.0243646621500761e-13
DP 1592282.793341094 6.802629377612386e-14
DP 1917910.2616724886 4.5175090628395184e-14
DP 2310129.7000831626 2.99999999999999e-14
DP 2782559.402207126 1.9922483551904494e-14
DP 3351602.6509388476 1.0837507529220804e-14
DP 4037017.258596558 5.148694090168793e-15
DP 4862601.580065354 2.4460468205132595e-15
DP 5857020.818056673 1.1620704091873574e-15
DP 7054802.310718645 5.520775909046272e-16
DP 8497534.359086456 2.6228158291389205e-16
DP 10235310.218990268 1.2460500094397298e-16
DP 12328467.394420683 5.919747047334524e-17
DP 14849682.622544665 2.8123594429554996e-17
DP 17886495.29057435 1.3360985821078802e-17
DP 21544346.900318865 6.34755072144922e-18
DP 25950242.113997374 3.0156008471923982e-18
DP 31257158.496882416 1.4326547149687387e-18
DP 37649358.067924716 6.806270578657985e-19
DP 45348785.081285916 3.2335299431109504e-19
DP 54622772.17684348 1.5361886913195233e-19
DP 65793322.465756826 7.298140845628216e-20
DP 79248289.83539185 3.467208169386784e-20
DP 95454845.66618347 1.6472047805248616e-20
DP 114975699.53977403 7.825557210381722e-21
DP 138488637.13938746 3.717773671919873e-21
DP 166810053.72000557 1.7662436940955357e-21
DP 200923300.2565054 8.391088490658883e-22
DP 242012826.47943833 3.9864468472526492e-22
DP 291505306.28251815 1.8938852192610466e-22
DP 351119173.42151415 8.997489145521617e-23
DP 422924287.4389499 4.274536286595418e-23
DP 509413801.48163855 2.0307510428634564e-23
DP 613590727.3413188 9.647712691136516e-24
DP 739072203.3525776 4.583445149409998e-24
DP 890215085.4450393 2.1775077793257694e-24
DP 1072267222.0103253 1.0344926086078711e-24
DP 1291549665.0148828 4.914677997594561e-25
DP 1555676143.9304786 2.3348702174434776e-25
DP 1873817422.8603868 1.1092525156221773e-25
DP 2257019719.633917 5.269848123555989e-26
DP 2718588242.732951 2.5036048018127615e-26
DP 3274549162.877732 1.1894151134341559e-26
DP 3944206059.437664 5.650685407861615e-27
DP 4750810162.102813 2.6845333658514816e-27
DP 5722367659.35022 1.275370839499139e-27
DP 6892612104.3497095 6.05904474474205e-28
DP 8302175681.319769 2.8785371345955957e-28
DP 10000000000.0 1.3675383471027183e-28
EN
