# SecondaryPositrons spectrum 
# Format: DP <energy in keV> <shape of differential spectrum [XX/keV]>
# Although cosima doesn't use it the spectrum here is given as a flux in #/cm^2/s/keV
# Integrated over 3.958990876756658 sr
# Integral Flux: 0.21318715542311786 #/cm^2/s
IP LOGLOG
DP 100.0 0.0
DP 120.45035402587824 0.0
DP 145.082877849594 0.0
DP 174.7528400007683 0.0
DP 210.49041445120199 0.0
DP 253.53644939701115 0.0
DP 305.3855508833416 0.0
DP 367.8379771828634 0.0
DP 443.0621457583882 0.0
DP 533.6699231206312 0.0
DP 642.807311728432 0.0
DP 774.263682681127 0.0
DP 932.60334688322 0.0
DP 1123.3240329780276 8.81312934590588e-09
DP 1353.0477745798075 7.3168148131905165e-09
DP 1629.7508346206434 6.074548200679043e-09
DP 1963.0406500402723 5.043196634668211e-09
DP 2364.4894126454074 4.1869504456456034e-09
DP 2848.035868435802 3.4760798168729792e-09
DP 3430.4692863149194 2.8859025321969235e-09
DP 4132.012400115339 2.3959269821464367e-09
DP 4977.023564332114 1.989140672539395e-09
DP 5994.8425031894085 1.6514195318280587e-09
DP 7220.809018385471 1.3710375076799328e-09
DP 8697.490026177835 1.1382594254437578e-09
DP 10476.157527896663 9.45002972095214e-10
DP 12618.56883066021 7.845580693703777e-10
DP 15199.11082952933 6.513538924109925e-10
DP 18307.382802953696 5.407654445507493e-10
DP 22051.307399030455 4.4895297230472953e-10
DP 26560.87782946684 3.727286448724546e-10
DP 31992.671377973846 3.0944586911913517e-10
DP 38535.28593710536 2.569073969285734e-10
DP 46415.88833612782 2.1328903431315633e-10
DP 55908.10182512223 1.7707630337668607e-10
DP 67341.50657750828 1.4701185796319188e-10
DP 81113.08307896872 1.220518272047645e-10
DP 97700.99572992246 1.0132957116800366e-10
DP 117681.19524349991 6.91957847520074e-11
DP 141747.41629268078 4.5951729452766326e-11
DP 170735.26474706922 3.0515752473476856e-11
DP 205651.23083486516 2.026498589089445e-11
DP 247707.6355991714 1.3457628269697362e-11
DP 298364.724028334 8.93697926168972e-12
DP 359381.36638046254 5.934894078157519e-12
DP 432876.12810830615 3.941260988479614e-12
DP 521400.8287999695 2.6173235738915966e-12
DP 628029.1441834259 1.738119528362246e-12
DP 756463.3275546291 1.154255257168032e-12
DP 911162.7561154906 7.665210458543129e-13
DP 1097498.7654930567 5.090334309407078e-13
DP 1321941.1484660313 3.380403385095251e-13
DP 1592282.793341094 2.2448676946120873e-13
DP 1917910.2616724886 1.490777990737041e-13
DP 2310129.7000831626 9.899999999999965e-14
DP 2782559.402207126 6.574419572128483e-14
DP 3351602.6509388476 3.5763774846428654e-14
DP 4037017.258596558 1.6990690497557018e-14
DP 4862601.580065354 8.071954507693758e-15
DP 5857020.818056673 3.8348323503182805e-15
DP 7054802.310718645 1.8218560499852695e-15
DP 8497534.359086456 8.655292236158437e-16
DP 10235310.218990268 4.111965031151108e-16
DP 12328467.394420683 1.9535165256203928e-16
DP 14849682.622544665 9.280786161753148e-17
DP 17886495.29057435 4.409125320956005e-17
DP 21544346.900318865 2.0946917380782426e-17
DP 25950242.113997374 9.951482795734914e-18
DP 31257158.496882416 4.727760559396837e-18
DP 37649358.067924716 2.246069290957135e-18
DP 45348785.081285916 1.0670648812266136e-18
DP 54622772.17684348 5.069422681354426e-19
DP 65793322.465756826 2.408386479057311e-19
DP 79248289.83539185 1.144178695897639e-19
DP 95454845.66618347 5.435775775732044e-20
DP 114975699.53977403 2.582433879425968e-20
DP 138488637.13938746 1.2268653117335579e-20
DP 166810053.72000557 5.828604190515268e-21
DP 200923300.2565054 2.7690592019174314e-21
DP 242012826.47943833 1.315527459593374e-21
DP 291505306.28251815 6.249821223561453e-22
DP 351119173.42151415 2.9691714180221333e-22
DP 422924287.4389499 1.4105969745764877e-22
DP 509413801.48163855 6.701478441449406e-23
DP 613590727.3413188 3.18374518807505e-23
DP 739072203.3525776 1.5125368993052993e-23
DP 890215085.4450393 7.18577567177504e-24
DP 1072267222.0103253 3.413825608405974e-24
DP 1291549665.0148828 1.6218437392062052e-24
DP 1555676143.9304786 7.705071717563475e-25
DP 1873817422.8603868 3.660533301553185e-25
DP 2257019719.633917 1.7390498807734761e-25
DP 2718588242.732951 8.261895845982112e-26
DP 3274549162.877732 3.9250698743327147e-26
DP 3944206059.437664 1.8647261845943327e-26
DP 4750810162.102813 8.858960107309889e-27
DP 5722367659.35022 4.208723770347158e-27
DP 6892612104.3497095 1.9994847657648763e-27
DP 8302175681.319769 9.499172544165465e-28
DP 10000000000.0 4.512876545438969e-28
EN
