# SecondaryProtonsDownward spectrum 
# Format: DP <energy in keV> <shape of differential spectrum [XX/keV]>
# Although cosima doesn't use it the spectrum here is given as a flux in #/cm^2/s/keV
# Integrated over 6.283185307179586 sr
# Integral Flux: 0.04691358059995734 #/cm^2/s
IP LOGLOG
DP 100.0 0.0
DP 120.45035402587824 0.0
DP 145.082877849594 0.0
DP 174.7528400007683 0.0
DP 210.49041445120199 0.0
DP 253.53644939701115 0.0
DP 305.3855508833416 0.0
DP 367.8379771828634 0.0
DP 443.0621457583882 0.0
DP 533.6699231206312 0.0
DP 642.807311728432 0.0
DP 774.263682681127 0.0
DP 932.60334688322 0.0
DP 1123.3240329780276 8.902150854450384e-10
DP 1353.0477745798075 7.390722033525776e-10
DP 1629.7508346206434 6.135907273413176e-10
DP 1963.0406500402723 5.094138014816377e-10
DP 2364.4894126454074 4.2292428743894983e-10
DP 2848.035868435802 3.5111917342151307e-10
DP 3430.4692863149194 2.9150530628251757e-10
DP 4132.012400115339 2.420128264794381e-10
DP 4977.023564332114 2.0092330025650458e-10
DP 5994.8425031894085 1.6681005372000594e-10
DP 7220.809018385471 1.3848863713938718e-10
DP 8697.490026177835 1.1497569953977356e-10
DP 10476.157527896663 9.545484566618326e-11
DP 12618.56883066021 7.924828983539171e-11
DP 15199.11082952933 6.579332246575683e-11
DP 18307.382802953696 5.4622772176843375e-11
DP 22051.307399030455 4.534878508128582e-11
DP 26560.87782946684 3.7649358067924716e-11
DP 31992.671377973846 3.125715849688236e-11
DP 38535.28593710536 2.595024211399732e-11
DP 46415.88833612782 2.1544346900318826e-11
DP 55908.10182512223 1.7886495290574353e-11
DP 67341.50657750828 1.4849682622544636e-11
DP 81113.08307896872 1.232846739442066e-11
DP 97700.99572992246 1.0235310218990269e-11
DP 117681.19524349991 8.67930296713217e-12
DP 141747.41629268078 7.382132197641898e-12
DP 170735.26474706922 6.278830914168204e-12
DP 205651.23083486516 5.340424228830201e-12
DP 247707.6355991714 4.542267714125065e-12
DP 298364.724028334 3.8634001912058535e-12
DP 359381.36638046254 3.2859932476006565e-12
DP 432876.12810830615 2.7948830276127477e-12
DP 521400.8287999695 2.37717199928559e-12
DP 628029.1441834259 1.8743132992608097e-12
DP 756463.3275546291 1.170570950689434e-12
DP 911162.7561154906 7.310604641915265e-13
DP 1097498.7654930567 4.565715576566778e-13
DP 1321941.1484660313 2.8514411252094633e-13
DP 1592282.793341094 1.7808197541402257e-13
DP 1917910.2616724886 1.1121811243790262e-13
DP 2310129.7000831626 6.945940769969627e-14
DP 2782559.402207126 4.337970868446825e-14
DP 3351602.6509388476 2.7092069855895854e-14
DP 4037017.258596558 1.691989806606376e-14
DP 4862601.580065354 1.0567038697624154e-14
DP 5857020.818056673 6.599466876283782e-15
DP 7054802.310718645 4.121586406318292e-15
DP 8497534.359086456 2.5740676971642648e-15
DP 10235310.218990268 1.6075908294503653e-15
DP 12328467.394420683 1.003993903415968e-15
DP 14849682.622544665 6.270275617590286e-16
DP 17886495.29057435 3.915995524153891e-16
DP 21544346.900318865 2.4456693581655654e-16
DP 25950242.113997374 1.5274017992557187e-16
DP 31257158.496882416 9.539131888700964e-17
DP 37649358.067924716 5.957504910258236e-17
DP 45348785.081285916 3.7206598220736074e-17
DP 54622772.17684348 2.3236757199739905e-17
DP 65793322.465756826 1.451212717583892e-17
DP 79248289.83539185 9.063305751203472e-18
DP 95454845.66618347 5.66033567267507e-18
DP 114975699.53977403 3.535067756387151e-18
DP 138488637.13938746 2.2077673065531014e-18
DP 166810053.72000557 1.3788240610319216e-18
DP 200923300.2565054 8.61121453170135e-19
DP 242012826.47943833 5.3779896802416815e-19
DP 291505306.28251815 3.358733299967079e-19
DP 351119173.42151415 2.0976405778080218e-19
DP 422924287.4389499 1.3100462587219844e-19
DP 509413801.48163855 8.18167429705644e-20
DP 613590727.3413188 5.1097275273635844e-20
DP 739072203.3525776 3.1911946694444797e-20
DP 890215085.4450393 1.993007134676937e-20
DP 1072267222.0103253 1.2446991958546448e-20
DP 1291549665.0148828 7.773560170482533e-21
DP 1555676143.9304786 4.8548466911010934e-21
DP 1873817422.8603868 3.0320131158941937e-21
DP 2257019719.633917 1.893592963873673e-21
DP 2718588242.732951 1.1826117420255033e-21
DP 3274549162.877732 7.385803385726603e-22
DP 3944206059.437664 4.612679691407427e-22
DP 4750810162.102813 2.880771775842412e-22
DP 5722367659.35022 1.7991377203037856e-22
DP 6892612104.3497095 1.1236213030701873e-22
DP 8302175681.319769 7.017388488191821e-23
DP 10000000000.0 4.382592343136766e-23
EN
