# SecondaryProtonsUpward spectrum 
# Format: DP <energy in keV> <shape of differential spectrum [XX/keV]>
# Although cosima doesn't use it the spectrum here is given as a flux in #/cm^2/s/keV
# Integrated over 6.283185307179586 sr
# Integral Flux: 0.07983001208457684 #/cm^2/s
IP LOGLOG
DP 100.0 0.0
DP 120.45035402587824 0.0
DP 145.082877849594 0.0
DP 174.7528400007683 0.0
DP 210.49041445120199 0.0
DP 253.53644939701115 0.0
DP 305.3855508833416 0.0
DP 367.8379771828634 0.0
DP 443.0621457583882 0.0
DP 533.6699231206312 0.0
DP 642.807311728432 0.0
DP 774.263682681127 0.0
DP 932.60334688322 0.0
DP 1123.3240329780276 1.2106925162052524e-09
DP 1353.0477745798075 1.0051381965595056e-09
DP 1629.7508346206434 8.344833891841919e-10
DP 1963.0406500402723 6.928027700150272e-10
DP 2364.4894126454074 5.751770309169718e-10
DP 2848.035868435802 4.775220758532579e-10
DP 3430.4692863149194 3.964472165442239e-10
DP 4132.012400115339 3.291374440120358e-10
DP 4977.023564332114 2.7325568834884625e-10
DP 5994.8425031894085 2.2686167305920805e-10
DP 7220.809018385471 1.883445465095666e-10
DP 8697.490026177835 1.5636695137409202e-10
DP 10476.157527896663 1.2981859010600924e-10
DP 12618.56883066021 1.0777767417613272e-10
DP 15199.11082952933 8.947891855342929e-11
DP 18307.382802953696 7.428697016050698e-11
DP 22051.307399030455 6.167434771054872e-11
DP 26560.87782946684 5.120312697237761e-11
DP 31992.671377973846 4.2509735555759996e-11
DP 38535.28593710536 3.529232927503635e-11
DP 46415.88833612782 2.93003117844336e-11
DP 55908.10182512223 2.4325633595181122e-11
DP 67341.50657750828 2.01955683666607e-11
DP 81113.08307896872 1.67667156564121e-11
DP 97700.99572992246 1.3920021897826766e-11
DP 117681.19524349991 1.2827993734027247e-11
DP 141747.41629268078 1.1863610279203578e-11
DP 170735.26474706922 1.0879992207702004e-11
DP 205651.23083486516 9.880366013777639e-12
DP 247707.6355991714 8.870000991077773e-12
DP 298364.724028334 7.856520300214914e-12
DP 359381.36638046254 6.850112766968404e-12
DP 432876.12810830615 5.863564259132987e-12
DP 521400.8287999695 4.912012376764619e-12
DP 628029.1441834259 4.012326900326401e-12
DP 756463.3275546291 3.1820429879818874e-12
DP 911162.7561154906 2.4378371393871e-12
DP 1097498.7654930567 1.7936447997905258e-12
DP 1321941.1484660313 1.2586655402696125e-12
DP 1592282.793341094 8.356533940552387e-13
DP 1917910.2616724886 5.199813947989181e-13
DP 2310129.7000831626 2.99917384171504e-13
DP 2782559.402207126 1.5829163114015296e-13
DP 3351602.6509388476 7.529946612305666e-14
DP 4037017.258596558 3.171910142998586e-14
DP 4862601.580065354 1.1589221159106799e-14
DP 5857020.818056673 3.584846997992847e-15
DP 7054802.310718645 9.12551144076712e-16
DP 8497534.359086456 1.8492892488177066e-16
DP 10235310.218990268 2.8697959579085497e-17
DP 12328467.394420683 3.258833786052495e-18
DP 14849682.622544665 2.567704449178715e-19
DP 17886495.29057435 1.3190893015945314e-20
DP 21544346.900318865 4.1079301610238466e-22
DP 25950242.113997374 7.121642171278045e-24
DP 31257158.496882416 6.220602184343127e-26
DP 37649358.067924716 2.436084194630433e-28
DP 45348785.081285916 3.7311440300340477e-31
DP 54622772.17684348 1.9048656292201832e-34
DP 65793322.465756826 2.688580093155699e-38
DP 79248289.83539185 8.428498363393644e-43
DP 95454845.66618347 4.542469040657043e-48
DP 114975699.53977403 3.118544726167988e-54
DP 138488637.13938746 1.9202886415474633e-61
DP 166810053.72000557 7.034451703900995e-70
DP 200923300.2565054 9.481550718693894e-80
DP 242012826.47943833 2.679925286758925e-91
DP 291505306.28251815 8.226075819532831e-105
DP 351119173.42151415 1.2695997217854632e-120
DP 422924287.4389499 4.0011348021288754e-139
DP 509413801.48163855 8.969045126884819e-161
DP 613590727.3413188 4.162760219192844e-186
DP 739072203.3525776 9.437534440692286e-216
DP 890215085.4450393 1.9282106386718887e-250
DP 1072267222.0103253 4.9121346299899676e-291
DP 1291549665.0148828 0.0
DP 1555676143.9304786 0.0
DP 1873817422.8603868 0.0
DP 2257019719.633917 0.0
DP 2718588242.732951 0.0
DP 3274549162.877732 0.0
DP 3944206059.437664 0.0
DP 4750810162.102813 0.0
DP 5722367659.35022 0.0
DP 6892612104.3497095 0.0
DP 8302175681.319769 0.0
DP 10000000000.0 0.0
EN
